DOMNAME,AS4LOCAL,AS4VERS,VALPOS,DDLANGUAGE,VALUE,DDTEXT
OIINVCYC,A,0000,560,D,,
OITAXFROM,A,0000,561,D,,
OITAXFROM,A,0000,562,D,,
OITAXGRP,A,0000,563,D,,
OITAXGRP,A,0000,564,D,,
OITAXGRP2,A,0000,565,D,,
OITAXGRP2,A,0000,566,D,,
OITAXTO,A,0000,567,D,,
OITAXTO,A,0000,568,D,,
OIUOMQT,A,0000,569,D,,
OIUOMQT,A,0000,570,D,,
PARGB,A,0000,571,D,,
PARGB,A,0000,572,D,,
POSN2,A,0000,573,D,,
POSN2,A,0000,574,D,,
POSN2,A,0000,575,D,,
PPRCT,A,0000,576,D,,
PPRCT,A,0000,577,D,,
PPRCT,A,0000,578,D,,
PSWSL,A,0000,579,D,,
PSWSL,A,0000,580,D,,
PYCUR,A,0000,581,D,,
PYCUR,A,0000,582,D,,
QSSKZ,A,0000,583,D,,
QSSKZ,A,0000,584,D,,
QSSKZ,A,0000,585,D,,
RECID,A,0000,586,D,,
RECID,A,0000,587,D,,
RECID,A,0000,588,D,,
RSTGR,A,0000,589,D,,
RSTGR,A,0000,590,D,,
RSTGR,A,0000,591,D,,
SAKNR,A,0000,592,D,,
SAKNR,A,0000,593,D,,
SAKNR,A,0000,594,D,,
SECCO,A,0000,595,D,,
SECCO,A,0000,596,D,,
SECCO,A,0000,597,D,,
TXJCD,A,0000,598,D,,
TXJCD,A,0000,599,D,,
TXJCD,A,0000,600,D,,
UMSKZ,A,0000,601,D,,
UMSKZ,A,0000,602,D,,
UMSKZ,A,0000,603,D,,
UZAWE,A,0000,604,D,,
UZAWE,A,0000,605,D,,
VBEL2,A,0000,606,D,,
VBEL2,A,0000,607,D,,
VBELN,A,0000,608,D,,
VBELN,A,0000,609,D,,
VBUND,A,0000,610,D,,
VBUND,A,0000,611,D,,
VNAME,A,0000,612,D,,
VNAME,A,0000,613,D,,
VNAME,A,0000,614,D,,
VPTNR,A,0000,615,D,,
VPTNR,A,0000,616,D,,
WERKS,A,0000,617,D,,
WERKS,A,0000,618,D,,
ZLSCH,A,0000,619,D,,
ZLSCH,A,0000,620,D,,
ZLSCH,A,0000,621,D,,
ZLSPR,A,0000,622,D,,
ZLSPR,A,0000,623,D,,
ZUMSK,A,0000,624,D,,
ZUMSK,A,0000,625,D,,
ZUMSK,A,0000,626,D,,
ZZREGION,A,0000,627,D,,
ZZREGION,A,0000,628,D,,
ZZSTATE,A,0000,629,D,,
ZZSTATE,A,0000,630,D,,
ZZSTATE,A,0000,631,D,,
ZZUSERFLD1,A,0000,632,D,,
ZZUSERFLD1,A,0000,633,D,,
MANDT,A,0000,1,D,,
BUKRS,A,0000,2,D,,
KUNNR,A,0000,3,D,,
UMSKS,A,0000,4,D,,
UMSKZ,A,0000,5,D,,
AUGDT,A,0000,6,D,,
AUGBL,A,0000,7,D,,
DZUONR,A,0000,8,D,,
GJAHR,A,0000,9,D,,
BELNR_D,A,0000,10,D,,
BUZEI,A,0000,11,D,,
BUDAT,A,0000,12,D,,
BLDAT,A,0000,13,D,,
CPUDT,A,0000,14,D,,
WAERS,A,0000,15,D,,
XBLNR1,A,0000,16,D,,
BLART,A,0000,17,D,,
MONAT,A,0000,18,D,,
BSCHL,A,0000,19,D,,
DZUMSK,A,0000,20,D,,
SHKZG,A,0000,21,D,,
Value,A,0000,22,D,,
GSBER,A,0000,23,D,,
MWSKZ,A,0000,24,D,,
DMBTR,A,0000,25,D,,
WRBTR,A,0000,26,D,,
MWSTS,A,0000,27,D,,
WMWST,A,0000,28,D,,
BDIFF,A,0000,29,D,,
BDIF2,A,0000,30,D,,
SGTXT,A,0000,31,D,,
PROJN,A,0000,32,D,,
AUFNR,A,0000,33,D,,
ANLN1,A,0000,34,D,,
ANLN2,A,0000,35,D,,
SAKNR,A,0000,36,D,,
HKONT,A,0000,37,D,,
FIPLS,A,0000,38,D,,
FILKD,A,0000,39,D,,
DZFBDT,A,0000,40,D,,
DZTERM,A,0000,41,D,,
DZBD1T,A,0000,42,D,,
DZBD2T,A,0000,43,D,,
DZBD3T,A,0000,44,D,,
DZBD1P,A,0000,45,D,,
DZBD2P,A,0000,46,D,,
SKFBT,A,0000,47,D,,
SKNTO,A,0000,48,D,,
WSKTO,A,0000,49,D,,
DZLSCH,A,0000,50,D,,
DZLSPR,A,0000,51,D,,
DZBFIX,A,0000,52,D,,
Value,A,0000,53,D,,
HBKID,A,0000,54,D,,
BVTYP,A,0000,55,D,,
REBZG,A,0000,56,D,,
REBZJ,A,0000,57,D,,
REBZZ,A,0000,58,D,,
SAMNR,A,0000,59,D,,
ANFBN,A,0000,60,D,,
ANFBJ,A,0000,61,D,,
ANFBU,A,0000,62,D,,
ANFAE,A,0000,63,D,,
MANSP,A,0000,64,D,,
MSCHL,A,0000,65,D,,
MADAT,A,0000,66,D,,
MAHNS_D,A,0000,67,D,,
MABER,A,0000,68,D,,
XNETB,A,0000,69,D,,
Value,A,0000,70,D,,
XANET,A,0000,71,D,,
Value,A,0000,72,D,,
XCPDD,A,0000,73,D,,
Value,A,0000,74,D,,
XINVE,A,0000,75,D,,
Value,A,0000,76,D,,
XZAHL,A,0000,77,D,,
Value,A,0000,78,D,,
MWSKX,A,0000,79,D,,
DMBTX,A,0000,80,D,,
WRBTX,A,0000,81,D,,
MWSKX,A,0000,82,D,,
DMBTX,A,0000,83,D,,
WRBTX,A,0000,84,D,,
MWSKX,A,0000,85,D,,
DMBTX,A,0000,86,D,,
WRBTX,A,0000,87,D,,
BSTAT_D,A,0000,88,D,,
Value,A,0000,89,D,,
RASSC,A,0000,90,D,,
VBELN_VF,A,0000,91,D,,
REBZT,A,0000,92,D,,
INFAE,A,0000,93,D,,
STCEG,A,0000,94,D,,
EGBLD,A,0000,95,D,,
EGLLD,A,0000,96,D,,
RSTGR,A,0000,97,D,,
XNOZA,A,0000,98,D,,
Value,A,0000,99,D,,
RANTYP,A,0000,100,D,,
Value,A,0000,101,D,,
RANL,A,0000,102,D,,
SBEWART,A,0000,103,D,,
WVERW,A,0000,104,D,,
Value,A,0000,105,D,,
PS_PSP_PNR,A,0000,106,D,,
FIPOS,A,0000,107,D,,
NPLNR,A,0000,108,D,,
CO_AUFPL,A,0000,109,D,,
CIM_COUNT,A,0000,110,D,,
XEGDR,A,0000,111,D,,
Value,A,0000,112,D,,
DMBE2,A,0000,113,D,,
DMBE3,A,0000,114,D,,
DMB2X,A,0000,115,D,,
DMB2X,A,0000,116,D,,
DMB2X,A,0000,117,D,,
DMB3X,A,0000,118,D,,
DMB3X,A,0000,119,D,,
DMB3X,A,0000,120,D,,
BDIF3,A,0000,121,D,,
XRAGL,A,0000,122,D,,
Value,A,0000,123,D,,
UZAWE,A,0000,124,D,,
XSTOV,A,0000,125,D,,
Value,A,0000,126,D,,
MWST2,A,0000,127,D,,
MWST3,A,0000,128,D,,
SKNT2,A,0000,129,D,,
SKNT3,A,0000,130,D,,
XREF1,A,0000,131,D,,
XREF2,A,0000,132,D,,
XARCH,A,0000,133,D,,
Value,A,0000,134,D,,
PSWSL,A,0000,135,D,,
PSWBT,A,0000,136,D,,
LZBKZ,A,0000,137,D,,
LANDL,A,0000,138,D,,
IMKEY,A,0000,139,D,,
VBELN_VA,A,0000,140,D,,
NUM06,A,0000,141,D,,
POSNR_VA,A,0000,142,D,,
ETENR,A,0000,143,D,,
FISTL,A,0000,144,D,,
BP_GEBER,A,0000,145,D,,
DABRBEZ,A,0000,146,D,,
XNEGP,A,0000,147,D,,
Value,A,0000,148,D,,
KOSTL,A,0000,149,D,,
RFZEI_CC,A,0000,150,D,,
KKBER,A,0000,151,D,,
EMPFB,A,0000,152,D,,
PRCTR,A,0000,153,D,,
XREF3,A,0000,154,D,,
QSSKZ,A,0000,155,D,,
DZINKZ,A,0000,156,D,,
Value,A,0000,157,D,,
DTAT16,A,0000,158,D,,
DTAT17,A,0000,159,D,,
DTAT18,A,0000,160,D,,
DTAT19,A,0000,161,D,,
XPYPR,A,0000,162,D,,
Value,A,0000,163,D,,
KIDNO,A,0000,164,D,,
ABSBT,A,0000,165,D,,
CCBTC,A,0000,166,D,,
PYCUR,A,0000,167,D,,
PYAMT,A,0000,168,D,,
BUPLA,A,0000,169,D,,
SECCO,A,0000,170,D,,
CESSION_KZ,A,0000,171,D,,
PPDIFF,A,0000,172,D,,
PPDIF2,A,0000,173,D,,
PPDIF3,A,0000,174,D,,
KBLNR_FI,A,0000,175,D,,
KBLPOS,A,0000,176,D,,
GM_GRANT_NBR,A,0000,177,D,,
FM_GMVKZ,A,0000,178,D,,
Value,A,0000,179,D,,
FM_SRTYPE,A,0000,180,D,,
Value,A,0000,181,D,,
PSO_LOTKZ,A,0000,182,D,,
FKBER,A,0000,183,D,,
VVINTRENO,A,0000,184,D,,
PPRCTR,A,0000,185,D,,
BUZID,A,0000,186,D,,
AUGGJ,A,0000,187,D,,
HKTID,A,0000,188,D,,
FM_BUDGET_PERIOD,A,0000,189,D,,
COM_WEC_PAYMENT_SRV_PROVIDER,A,0000,190,D,,
FPS_TRANSACTION,A,0000,191,D,,
SEPA_MNDID,A,0000,192,D,,
KONTT_FI,A,0000,193,D,,
KONTL_FI,A,0000,194,D,,
UEBGDAT,A,0000,195,D,,
JV_NAME,A,0000,196,D,,
JV_EGROUP,A,0000,197,D,,
JV_BILIND,A,0000,198,D,,
OIA_EXGNUM,A,0000,199,D,,
OIA_NETCYC,A,0000,200,D,,
OIA_EXGTYP,A,0000,201,D,,
REHORECNNRM,A,0000,202,D,,
Field,A,0000,203,D,,
ANFBU,A,0000,204,D,,
ANFBU,A,0000,205,D,,
AUFNR,A,0000,206,D,,
AUFNR,A,0000,207,D,,
BLART,A,0000,208,D,,
BLART,A,0000,209,D,,
BSCHL,A,0000,210,D,,
BSCHL,A,0000,211,D,,
BTYPE,A,0000,212,D,,
BTYPE,A,0000,213,D,,
BUKRS,A,0000,214,D,,
BUKRS,A,0000,215,D,,
BUKRS,A,0000,216,D,,
BUPLA,A,0000,217,D,,
BUPLA,A,0000,218,D,,
CESSION_KZ,A,0000,219,D,,
CESSION_KZ,A,0000,220,D,,
CESSION_KZ,A,0000,221,D,,
EGBLD,A,0000,222,D,,
EGBLD,A,0000,223,D,,
EGLLD,A,0000,224,D,,
EGLLD,A,0000,225,D,,
EGRUP,A,0000,226,D,,
EGRUP,A,0000,227,D,,
EGRUP,A,0000,228,D,,
EGRUP,A,0000,229,D,,
GSBER,A,0000,230,D,,
GSBER,A,0000,231,D,,
HBKID,A,0000,232,D,,
HBKID,A,0000,233,D,,
KKBER,A,0000,234,D,,
KKBER,A,0000,235,D,,
KUNNR,A,0000,236,D,,
KUNNR,A,0000,237,D,,
LANDL,A,0000,238,D,,
LANDL,A,0000,239,D,,
LZBKZ,A,0000,240,D,,
LZBKZ,A,0000,241,D,,
MANSP,A,0000,242,D,,
MANSP,A,0000,243,D,,
MSCHL,A,0000,244,D,,
MSCHL,A,0000,245,D,,
MWSKZ,A,0000,246,D,,
MWSKZ,A,0000,247,D,,
PSWSL,A,0000,248,D,,
PSWSL,A,0000,249,D,,
PYCUR,A,0000,250,D,,
PYCUR,A,0000,251,D,,
QSSKZ,A,0000,252,D,,
QSSKZ,A,0000,253,D,,
RSTGR,A,0000,254,D,,
RSTGR,A,0000,255,D,,
SECCO,A,0000,256,D,,
SECCO,A,0000,257,D,,
UMSKZ,A,0000,258,D,,
UMSKZ,A,0000,259,D,,
UZAWE,A,0000,260,D,,
UZAWE,A,0000,261,D,,
VBUND,A,0000,262,D,,
VBUND,A,0000,263,D,,
VNAME,A,0000,264,D,,
VNAME,A,0000,265,D,,
VNAME,A,0000,266,D,,
WAERS,A,0000,267,D,,
WAERS,A,0000,268,D,,
ZLSCH,A,0000,269,D,,
ZLSCH,A,0000,270,D,,
ZLSPR,A,0000,271,D,,
ZLSPR,A,0000,272,D,,
MANDT,A,0000,1,D,,
BUKRS,A,0000,2,D,,
LIFNR,A,0000,3,D,,
UMSKS,A,0000,4,D,,
UMSKZ,A,0000,5,D,,
AUGDT,A,0000,6,D,,
AUGBL,A,0000,7,D,,
DZUONR,A,0000,8,D,,
GJAHR,A,0000,9,D,,
BELNR_D,A,0000,10,D,,
BUZEI,A,0000,11,D,,
BUDAT,A,0000,12,D,,
BLDAT,A,0000,13,D,,
CPUDT,A,0000,14,D,,
WAERS,A,0000,15,D,,
XBLNR1,A,0000,16,D,,
BLART,A,0000,17,D,,
MONAT,A,0000,18,D,,
BSCHL,A,0000,19,D,,
DZUMSK,A,0000,20,D,,
SHKZG,A,0000,21,D,,
Value,A,0000,22,D,,
GSBER,A,0000,23,D,,
MWSKZ,A,0000,24,D,,
DMBTR,A,0000,25,D,,
WRBTR,A,0000,26,D,,
MWSTS,A,0000,27,D,,
WMWST,A,0000,28,D,,
BDIFF,A,0000,29,D,,
BDIF2,A,0000,30,D,,
SGTXT,A,0000,31,D,,
PROJN,A,0000,32,D,,
AUFNR,A,0000,33,D,,
ANLN1,A,0000,34,D,,
ANLN2,A,0000,35,D,,
EBELN,A,0000,36,D,,
EBELP,A,0000,37,D,,
SAKNR,A,0000,38,D,,
HKONT,A,0000,39,D,,
FIPLS,A,0000,40,D,,
FILKD,A,0000,41,D,,
DZFBDT,A,0000,42,D,,
DZTERM,A,0000,43,D,,
DZBD1T,A,0000,44,D,,
DZBD2T,A,0000,45,D,,
DZBD3T,A,0000,46,D,,
DZBD1P,A,0000,47,D,,
DZBD2P,A,0000,48,D,,
SKFBT,A,0000,49,D,,
SKNTO,A,0000,50,D,,
WSKTO,A,0000,51,D,,
DZLSCH,A,0000,52,D,,
DZLSPR,A,0000,53,D,,
DZBFIX,A,0000,54,D,,
Value,A,0000,55,D,,
HBKID,A,0000,56,D,,
BVTYP,A,0000,57,D,,
REBZG,A,0000,58,D,,
REBZJ,A,0000,59,D,,
REBZZ,A,0000,60,D,,
SAMNR,A,0000,61,D,,
DZOLLT,A,0000,62,D,,
DZOLLD,A,0000,63,D,,
LZBKZ,A,0000,64,D,,
LANDL,A,0000,65,D,,
DIEKZ,A,0000,66,D,,
MANSP,A,0000,67,D,,
MSCHL,A,0000,68,D,,
MADAT,A,0000,69,D,,
MAHNS_D,A,0000,70,D,,
MABER,A,0000,71,D,,
XNETB,A,0000,72,D,,
Value,A,0000,73,D,,
XANET,A,0000,74,D,,
Value,A,0000,75,D,,
XCPDD,A,0000,76,D,,
Value,A,0000,77,D,,
XESRD,A,0000,78,D,,
Value,A,0000,79,D,,
XZAHL,A,0000,80,D,,
Value,A,0000,81,D,,
MWSKX,A,0000,82,D,,
DMBTX,A,0000,83,D,,
WRBTX,A,0000,84,D,,
MWSKX,A,0000,85,D,,
DMBTX,A,0000,86,D,,
WRBTX,A,0000,87,D,,
MWSKX,A,0000,88,D,,
DMBTX,A,0000,89,D,,
WRBTX,A,0000,90,D,,
QSSKZ,A,0000,91,D,,
QSSHB,A,0000,92,D,,
QBSHB,A,0000,93,D,,
BSTAT_D,A,0000,94,D,,
Value,A,0000,95,D,,
ANFBN,A,0000,96,D,,
ANFBJ,A,0000,97,D,,
ANFBU,A,0000,98,D,,
RASSC,A,0000,99,D,,
REBZT,A,0000,100,D,,
STCEG,A,0000,101,D,,
EGBLD,A,0000,102,D,,
EGLLD,A,0000,103,D,,
QSZNR,A,0000,104,D,,
QSFBT,A,0000,105,D,,
XINVE,A,0000,106,D,,
Value,A,0000,107,D,,
PS_PSP_PNR,A,0000,108,D,,
FIPOS,A,0000,109,D,,
NPLNR,A,0000,110,D,,
CO_AUFPL,A,0000,111,D,,
CIM_COUNT,A,0000,112,D,,
XEGDR,A,0000,113,D,,
Value,A,0000,114,D,,
DMBE2,A,0000,115,D,,
DMBE3,A,0000,116,D,,
DMB2X,A,0000,117,D,,
DMB2X,A,0000,118,D,,
DMB2X,A,0000,119,D,,
DMB3X,A,0000,120,D,,
DMB3X,A,0000,121,D,,
DMB3X,A,0000,122,D,,
MWST2,A,0000,123,D,,
MWST3,A,0000,124,D,,
SKNT2,A,0000,125,D,,
SKNT3,A,0000,126,D,,
BDIF3,A,0000,127,D,,
XRAGL,A,0000,128,D,,
Value,A,0000,129,D,,
RSTGR,A,0000,130,D,,
UZAWE,A,0000,131,D,,
KOSTL,A,0000,132,D,,
LNRAN,A,0000,133,D,,
XSTOV,A,0000,134,D,,
Value,A,0000,135,D,,
KZBTR_FI,A,0000,136,D,,
XREF1,A,0000,137,D,,
XREF2,A,0000,138,D,,
XARCH,A,0000,139,D,,
Value,A,0000,140,D,,
PSWSL,A,0000,141,D,,
PSWBT,A,0000,142,D,,
IMKEY,A,0000,143,D,,
DZEKKN,A,0000,144,D,,
FISTL,A,0000,145,D,,
BP_GEBER,A,0000,146,D,,
DABRBEZ,A,0000,147,D,,
XNEGP,A,0000,148,D,,
Value,A,0000,149,D,,
EMPFB,A,0000,150,D,,
PRCTR,A,0000,151,D,,
XREF3,A,0000,152,D,,
DTAT16,A,0000,153,D,,
DTAT17,A,0000,154,D,,
DTAT18,A,0000,155,D,,
DTAT19,A,0000,156,D,,
XPYPR,A,0000,157,D,,
Value,A,0000,158,D,,
KIDNO,A,0000,159,D,,
PYCUR,A,0000,160,D,,
PYAMT,A,0000,161,D,,
BUPLA,A,0000,162,D,,
SECCO,A,0000,163,D,,
PPDIFF,A,0000,164,D,,
PPDIF2,A,0000,165,D,,
PPDIF3,A,0000,166,D,,
PENALTY1,A,0000,167,D,,
PENALTY2,A,0000,168,D,,
PENALTY3,A,0000,169,D,,
PENALTY,A,0000,170,D,,
PDAYS,A,0000,171,D,,
PENRC,A,0000,172,D,,
RANTYP,A,0000,173,D,,
Value,A,0000,174,D,,
RANL,A,0000,175,D,,
SBEWART,A,0000,176,D,,
KBLNR_FI,A,0000,177,D,,
KBLPOS,A,0000,178,D,,
GM_GRANT_NBR,A,0000,179,D,,
FM_GMVKZ,A,0000,180,D,,
Value,A,0000,181,D,,
FM_SRTYPE,A,0000,182,D,,
Value,A,0000,183,D,,
PSO_LOTKZ,A,0000,184,D,,
DZINKZ,A,0000,185,D,,
Value,A,0000,186,D,,
FKBER,A,0000,187,D,,
VVINTRENO,A,0000,188,D,,
PPRCTR,A,0000,189,D,,
BUZID,A,0000,190,D,,
AUGGJ,A,0000,191,D,,
HKTID,A,0000,192,D,,
FM_BUDGET_PERIOD,A,0000,193,D,,
KONTT_FI,A,0000,194,D,,
KONTL_FI,A,0000,195,D,,
UEBGDAT,A,0000,196,D,,
JV_NAME,A,0000,197,D,,
JV_EGROUP,A,0000,198,D,,
JV_BILIND,A,0000,199,D,,
OIA_EXGNUM,A,0000,200,D,,
OIA_NETCYC,A,0000,201,D,,
OIA_EXGTYP,A,0000,202,D,,
REHORECNNRM,A,0000,203,D,,
Field,A,0000,204,D,,
ANFBU,A,0000,205,D,,
ANFBU,A,0000,206,D,,
AUFNR,A,0000,207,D,,
AUFNR,A,0000,208,D,,
BLART,A,0000,209,D,,
BLART,A,0000,210,D,,
BSCHL,A,0000,211,D,,
BSCHL,A,0000,212,D,,
BTYPE,A,0000,213,D,,
BTYPE,A,0000,214,D,,
BUKRS,A,0000,215,D,,
BUKRS,A,0000,216,D,,
BUKRS,A,0000,217,D,,
BUPLA,A,0000,218,D,,
BUPLA,A,0000,219,D,,
EGBLD,A,0000,220,D,,
EGBLD,A,0000,221,D,,
EGLLD,A,0000,222,D,,
EGLLD,A,0000,223,D,,
EGRUP,A,0000,224,D,,
EGRUP,A,0000,225,D,,
EGRUP,A,0000,226,D,,
EGRUP,A,0000,227,D,,
GSBER,A,0000,228,D,,
GSBER,A,0000,229,D,,
HBKID,A,0000,230,D,,
HBKID,A,0000,231,D,,
LANDL,A,0000,232,D,,
LANDL,A,0000,233,D,,
LIFNR,A,0000,234,D,,
LIFNR,A,0000,235,D,,
LNRAN,A,0000,236,D,,
LNRAN,A,0000,237,D,,
LNRAN,A,0000,238,D,,
LNRAN,A,0000,239,D,,
LNRAN,A,0000,240,D,,
LNRAN,A,0000,241,D,,
LZBKZ,A,0000,242,D,,
LZBKZ,A,0000,243,D,,
MANSP,A,0000,244,D,,
MANSP,A,0000,245,D,,
MSCHL,A,0000,246,D,,
MSCHL,A,0000,247,D,,
MWSKZ,A,0000,248,D,,
MWSKZ,A,0000,249,D,,
PSWSL,A,0000,250,D,,
PSWSL,A,0000,251,D,,
PYCUR,A,0000,252,D,,
PYCUR,A,0000,253,D,,
QSSKZ,A,0000,254,D,,
QSSKZ,A,0000,255,D,,
RSTGR,A,0000,256,D,,
RSTGR,A,0000,257,D,,
SECCO,A,0000,258,D,,
SECCO,A,0000,259,D,,
UMSKZ,A,0000,260,D,,
UMSKZ,A,0000,261,D,,
UZAWE,A,0000,262,D,,
UZAWE,A,0000,263,D,,
VBUND,A,0000,264,D,,
VBUND,A,0000,265,D,,
VNAME,A,0000,266,D,,
VNAME,A,0000,267,D,,
VNAME,A,0000,268,D,,
WAERS,A,0000,269,D,,
WAERS,A,0000,270,D,,
ZLSCH,A,0000,271,D,,
ZLSCH,A,0000,272,D,,
ZLSPR,A,0000,273,D,,
ZLSPR,A,0000,274,D,,
MANDT,A,0000,1,D,,
CDOBJECTCL,A,0000,2,D,,
CDOBJECTV,A,0000,3,D,,
CDCHANGENR,A,0000,4,D,,
CDUSERNAME,A,0000,5,D,,
CDDATUM,A,0000,6,D,,
CDUZEIT,A,0000,7,D,,
CDTCODE,A,0000,8,D,,
PLANCHNGNR,A,0000,9,D,,
CD_CHNGNO,A,0000,10,D,,
CD_PLANNED,A,0000,11,D,,
Value,A,0000,12,D,,
CDCHNGINDH,A,0000,13,D,,
Value,A,0000,14,D,,
LANGU,A,0000,15,D,,
CHAR3,A,0000,16,D,,
Field,A,0000,17,D,,
MANDANT,A,0000,18,D,,
TCODE,A,0000,19,D,,
MANDT,A,0000,1,D,,
CDOBJECTCL,A,0000,2,D,,
CDOBJECTV,A,0000,3,D,,
CDCHANGENR,A,0000,4,D,,
TABNAME,A,0000,5,D,,
CDTABKEY,A,0000,6,D,,
FIELDNAME,A,0000,7,D,,
CDCHNGIND,A,0000,8,D,,
Value,A,0000,9,D,,
CDXFELD,A,0000,10,D,,
Value,A,0000,11,D,,
CDUNIT,A,0000,12,D,,
CDUNIT,A,0000,13,D,,
CDCUKY,A,0000,14,D,,
CDCUKY,A,0000,15,D,,
CDFLDVALN,A,0000,16,D,,
CDFLDVALO,A,0000,17,D,,
Field,A,0000,18,D,,
CHANGENR,A,0000,19,D,,
CHANGENR,A,0000,20,D,,
CHANGENR,A,0000,21,D,,
CHANGENR,A,0000,22,D,,
CUKY_NEW,A,0000,23,D,,
CUKY_NEW,A,0000,24,D,,
CUKY_OLD,A,0000,25,D,,
CUKY_OLD,A,0000,26,D,,
MANDANT,A,0000,27,D,,
MANDT,A,0000,1,D,,
KOKRS,A,0000,2,D,,
CO_BELNR,A,0000,3,D,,
GJAHR,A,0000,4,D,,
VERSN_COBK,A,0000,5,D,,
CO_VORGANG,A,0000,6,D,,
RKE_HZSTMP,A,0000,7,D,,
CO_PERAB,A,0000,8,D,,
CO_PERBI,A,0000,9,D,,
CO_BLDAT,A,0000,10,D,,
CO_BUDAT,A,0000,11,D,,
CO_CPUDT,A,0000,12,D,,
SYUNAME,A,0000,13,D,,
CO_BLTXT,A,0000,14,D,,
CO_STFLG,A,0000,15,D,,
Value,A,0000,16,D,,
CO_STOKZ,A,0000,17,D,,
Value,A,0000,18,D,,
CO_REFBT,A,0000,19,D,,
Value,A,0000,20,D,,
CO_REFBN,A,0000,21,D,,
CO_REFBK,A,0000,22,D,,
CO_REFGJ,A,0000,23,D,,
CO_REFBA,A,0000,24,D,,
CO_ORGVG,A,0000,25,D,,
CO_SUMBZ,A,0000,26,D,,
CO_DELBZ,A,0000,27,D,,
WSDAT,A,0000,28,D,,
KURST,A,0000,29,D,,
CO_VARNR,A,0000,30,D,,
KWAER,A,0000,31,D,,
CO_CTYP1,A,0000,32,D,,
Value,A,0000,33,D,,
CO_CTYP2,A,0000,34,D,,
Value,A,0000,35,D,,
CO_CTYP3,A,0000,36,D,,
Value,A,0000,37,D,,
CO_CTYP4,A,0000,38,D,,
Value,A,0000,39,D,,
AWTYP,A,0000,40,D,,
AWORG,A,0000,41,D,,
LOGSYSTEM,A,0000,42,D,,
CPUTM,A,0000,43,D,,
CO_ALEBZ,A,0000,44,D,,
CO_ALEBN,A,0000,45,D,,
AWSYS,A,0000,46,D,,
AWREF_REV,A,0000,47,D,,
AWORG_REV,A,0000,48,D,,
CO_VALDT,A,0000,49,D,,
Field,A,0000,50,D,,
BLART,A,0000,51,D,,
BLART,A,0000,52,D,,
KOKRS,A,0000,53,D,,
KOKRS,A,0000,54,D,,
KURST,A,0000,55,D,,
KURST,A,0000,56,D,,
KWAER,A,0000,57,D,,
KWAER,A,0000,58,D,,
LOGSYSTEM,A,0000,59,D,,
MANDT,A,0000,60,D,,
ORGVG,A,0000,61,D,,
REFBK,A,0000,62,D,,
REFBK,A,0000,63,D,,
VERSN,A,0000,64,D,,
VERSN,A,0000,65,D,,
VERSN,A,0000,66,D,,
VRGNG,A,0000,67,D,,
MANDT,A,0000,1,D,,
KOKRS,A,0000,2,D,,
CO_BELNR,A,0000,3,D,,
CO_BUZEI,A,0000,4,D,,
CO_PERIO,A,0000,5,D,,
WTGXXX,A,0000,6,D,,
WOGXXX,A,0000,7,D,,
WKGXXX,A,0000,8,D,,
WKFXXX,A,0000,9,D,,
PAGXXX,A,0000,10,D,,
PAFXXX,A,0000,11,D,,
MEGXXX,A,0000,12,D,,
MEFXXX,A,0000,13,D,,
MBGXXX,A,0000,14,D,,
MBFXXX,A,0000,15,D,,
LEDNR,A,0000,16,D,,
Value,A,0000,17,D,,
J_OBJNR,A,0000,18,D,,
GJAHR,A,0000,19,D,,
CO_WRTTP,A,0000,20,D,,
Value,A,0000,21,D,,
VERSN,A,0000,22,D,,
KSTAR,A,0000,23,D,,
CO_SUBKEY,A,0000,24,D,,
CO_VORGANG,A,0000,25,D,,
PAROB,A,0000,26,D,,
PAROB1,A,0000,27,D,,
USPOB,A,0000,28,D,,
RASSC,A,0000,29,D,,
PARGB,A,0000,30,D,,
BEKNZ,A,0000,31,D,,
Value,A,0000,32,D,,
TWAER,A,0000,33,D,,
OWAER,A,0000,34,D,,
CO_MEINH,A,0000,35,D,,
MEINB,A,0000,36,D,,
CO_MVFLG,A,0000,37,D,,
Value,A,0000,38,D,,
CO_SGTXT,A,0000,39,D,,
CO_REFBZ,A,0000,40,D,,
DZLENR,A,0000,41,D,,
BW_REFBZ,A,0000,42,D,,
GKONT,A,0000,43,D,,
GKOAR,A,0000,44,D,,
Value,A,0000,45,D,,
WERKS_D,A,0000,46,D,,
MATNR,A,0000,47,D,,
CO_RBEST,A,0000,48,D,,
Value,A,0000,49,D,,
EBELN,A,0000,50,D,,
EBELP,A,0000,51,D,,
DZEKKN,A,0000,52,D,,
KBLERLKZ,A,0000,53,D,,
Value,A,0000,54,D,,
PERNR_D,A,0000,55,D,,
CO_BTRKL,A,0000,56,D,,
OBJNR_N1,A,0000,57,D,,
OBJNR_N2,A,0000,58,D,,
OBJNR_N3,A,0000,59,D,,
RKEOBJNR,A,0000,60,D,,
BP_INOUT,A,0000,61,D,,
Value,A,0000,62,D,,
BUKRS,A,0000,63,D,,
GSBER,A,0000,64,D,,
FKBER,A,0000,65,D,,
SCOPE_CV,A,0000,66,D,,
Value,A,0000,67,D,,
LOGSYSO,A,0000,68,D,,
PKSTAR,A,0000,69,D,,
PBUKRS,A,0000,70,D,,
SFKBER,A,0000,71,D,,
PSCOPE_CV,A,0000,72,D,,
Value,A,0000,73,D,,
LOGSYSP,A,0000,74,D,,
