ROLLNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DDTEXT
IDZEITGRAD,A,0000,D,ZGR03
IDZEITGRAD,A,0000,D,ZGR04
IDZEITGRAD,A,0000,D,ZGR05
IDZEITGRAD,A,0000,D,ZGR06
KTSCH,A,0000,D,KTSCH
LOHNANZ,A,0000,D,LOANZ
LOHNART,A,0000,D,LOART
LOHNGRP,A,0000,D,LOGRP
QUALF,A,0000,D,QUALF
RUEARSCHLU,A,0000,D,RASCH
STEUS,A,0000,D,STEUS
VGWRTEH,A,0000,D,VGE01
VGWRTEH,A,0000,D,VGE02
VGWRTEH,A,0000,D,VGE03
VGWRTEH,A,0000,D,VGE04
VGWRTEH,A,0000,D,VGE05
VGWRTEH,A,0000,D,VGE06
KTSCH_REF,A,0000,D,KTSCH_REF
Value,A,0000,D,Value
LOART_REF,A,0000,D,LOART_REF
Value,A,0000,D,Value
LOANZ_REF,A,0000,D,LOANZ_REF
Value,A,0000,D,Value
LOGRP_REF,A,0000,D,LOGRP_REF
Value,A,0000,D,Value
QUALF_REF,A,0000,D,QUALF_REF
Value,A,0000,D,Value
RASCH_REF,A,0000,D,RASCH_REF
Value,A,0000,D,Value
STEUS_REF,A,0000,D,STEUS_REF
Value,A,0000,D,Value
AP_FORM_T1,A,0000,D,FORT1
AP_FORM_T2,A,0000,D,FORT2
AP_FORM_T3,A,0000,D,FORT3
KAPID,A,0000,D,KAPID
ORTSGRUPPE,A,0000,D,ORTGR
DZEIWN,A,0000,D,ZEIWN
DZWNOR,A,0000,D,ZWNOR
DZEIWM,A,0000,D,ZEIWM
DZWMIN,A,0000,D,ZWMIN
FLGFORMART,A,0000,D,FORMR
Value,A,0000,D,Value
MATYP,A,0000,D,MATYP
CPLGR,A,0000,D,CPLGR
SORTB,A,0000,D,SORTB
MTRVP,A,0000,D,MTRVP
Value,A,0000,D,Value
MTMVP,A,0000,D,MTMVP
Value,A,0000,D,Value
MTPVP,A,0000,D,MTPVP
Value,A,0000,D,Value
CR_RS_ANZ,A,0000,D,RSANZ
CR_PDEST,A,0000,D,PDEST
HROBJID,A,0000,D,HROID
AP_FORM_TN,A,0000,D,FORTN
AP_KZREF,A,0000,D,ZGR01_REF
Value,A,0000,D,Value
AP_KZREF,A,0000,D,ZGR02_REF
Value,A,0000,D,Value
AP_KZREF,A,0000,D,ZGR03_REF
Value,A,0000,D,Value
AP_KZREF,A,0000,D,ZGR04_REF
Value,A,0000,D,Value
AP_KZREF,A,0000,D,ZGR05_REF
Value,A,0000,D,Value
AP_KZREF,A,0000,D,ZGR06_REF
Value,A,0000,D,Value
STEUS,A,0000,D,STEUS_C
STEUS,A,0000,D,STEUS_I
STEUS,A,0000,D,STEUS_N
STEUS,A,0000,D,STEUS_Q
RUZUS,A,0000,D,RUZUS
RSANZ_REF,A,0000,D,RSANZ_REF
Value,A,0000,D,Value
AP_KZHR,A,0000,D,HR
Value,A,0000,D,Value
PRVBE,A,0000,D,PRVBE
QEIFSUBSYS,A,0000,D,SUBSYS
BDEGR,A,0000,D,BDEGR
RGEKZAP,A,0000,D,RGEKZ
Value,A,0000,D,Value
OTYPE,A,0000,D,HRTYP
SLWID,A,0000,D,SLWID
LIFNR,A,0000,D,LIFNR
AP_KZREF,A,0000,D,SLWID_REF
Value,A,0000,D,Value
AP_KZREF,A,0000,D,LIFNR_REF
Value,A,0000,D,Value
VGWRTAR,A,0000,D,VGARB
VGDIMAR,A,0000,D,VGDIM
PLVAR,A,0000,D,HRPLVAR
DAUNORE,A,0000,D,VGDAU
J_OBJNR,A,0000,D,STOBJ
MATRIX_ID,A,0000,D,RESGR
LGORT_RES,A,0000,D,LGORT_RES
MIXMAT,A,0000,D,MIXMAT
Value,A,0000,D,Value
CY_ISTBEDKZ,A,0000,D,ISTBED_KZ
Value,A,0000,D,Value
COCF_SR_SRTYPE,A,0000,D,SRTYPE
COCF_SN_SNTYPE,A,0000,D,SNTYPE
Field,A,0000,D,Table
CPLGR,A,0000,D,CRHD
CPLGR,A,0000,D,CRHD
FORT1,A,0000,D,CRHD
FORT1,A,0000,D,CRHD
FORT2,A,0000,D,CRHD
FORT2,A,0000,D,CRHD
FORT3,A,0000,D,CRHD
FORT3,A,0000,D,CRHD
FORTN,A,0000,D,CRHD
FORTN,A,0000,D,CRHD
HROID,A,0000,D,CRHD
HROID,A,0000,D,CRHD
HROID,A,0000,D,CRHD
HROID,A,0000,D,CRHD
HRPLVAR,A,0000,D,CRHD
HRPLVAR,A,0000,D,CRHD
HRTYP,A,0000,D,CRHD
HRTYP,A,0000,D,CRHD
KAPID,A,0000,D,CRHD
KAPID,A,0000,D,CRHD
KTSCH,A,0000,D,CRHD
KTSCH,A,0000,D,CRHD
LGORT_RES,A,0000,D,CRHD
LGORT_RES,A,0000,D,CRHD
LGORT_RES,A,0000,D,CRHD
LIFNR,A,0000,D,CRHD
LIFNR,A,0000,D,CRHD
LOGRP,A,0000,D,CRHD
LOGRP,A,0000,D,CRHD
LOGRP,A,0000,D,CRHD
MANDT,A,0000,D,CRHD
MATYP,A,0000,D,CRHD
MATYP,A,0000,D,CRHD
OBJID,A,0000,D,CRHD
OBJID,A,0000,D,CRHD
OBJID,A,0000,D,CRHD
PAR01,A,0000,D,CRHD
PAR01,A,0000,D,CRHD
PAR02,A,0000,D,CRHD
PAR02,A,0000,D,CRHD
PAR03,A,0000,D,CRHD
PAR03,A,0000,D,CRHD
PAR04,A,0000,D,CRHD
PAR04,A,0000,D,CRHD
PAR05,A,0000,D,CRHD
PAR05,A,0000,D,CRHD
PAR06,A,0000,D,CRHD
PAR06,A,0000,D,CRHD
PARU1,A,0000,D,CRHD
PARU1,A,0000,D,CRHD
PARU2,A,0000,D,CRHD
PARU2,A,0000,D,CRHD
PARU3,A,0000,D,CRHD
PARU3,A,0000,D,CRHD
PARU4,A,0000,D,CRHD
PARU4,A,0000,D,CRHD
PARU5,A,0000,D,CRHD
PARU5,A,0000,D,CRHD
PARU6,A,0000,D,CRHD
PARU6,A,0000,D,CRHD
PDEST,A,0000,D,CRHD
PLANV,A,0000,D,CRHD
PLANV,A,0000,D,CRHD
PRVBE,A,0000,D,CRHD
PRVBE,A,0000,D,CRHD
PRVBE,A,0000,D,CRHD
QUALF,A,0000,D,CRHD
QUALF,A,0000,D,CRHD
QUALF,A,0000,D,CRHD
RASCH,A,0000,D,CRHD
RASCH,A,0000,D,CRHD
RASCH,A,0000,D,CRHD
RESGR,A,0000,D,CRHD
RESGR,A,0000,D,CRHD
RESGR,A,0000,D,CRHD
RUZUS,A,0000,D,CRHD
RUZUS,A,0000,D,CRHD
SLWID,A,0000,D,CRHD
SLWID,A,0000,D,CRHD
SNTYPE,A,0000,D,CRHD
SNTYPE,A,0000,D,CRHD
SORTB,A,0000,D,CRHD
SORTB,A,0000,D,CRHD
SRTYPE,A,0000,D,CRHD
SRTYPE,A,0000,D,CRHD
STAND,A,0000,D,CRHD
STAND,A,0000,D,CRHD
STAND,A,0000,D,CRHD
STEUS,A,0000,D,CRHD
STEUS,A,0000,D,CRHD
STEUS_C,A,0000,D,CRHD
STEUS_C,A,0000,D,CRHD
STEUS_I,A,0000,D,CRHD
STEUS_I,A,0000,D,CRHD
STEUS_N,A,0000,D,CRHD
STEUS_N,A,0000,D,CRHD
STEUS_Q,A,0000,D,CRHD
STEUS_Q,A,0000,D,CRHD
SUBSYS,A,0000,D,CRHD
SUBSYS,A,0000,D,CRHD
VERAN,A,0000,D,CRHD
VERAN,A,0000,D,CRHD
VERAN,A,0000,D,CRHD
VERWE,A,0000,D,CRHD
VERWE,A,0000,D,CRHD
VGARB,A,0000,D,CRHD
VGARB,A,0000,D,CRHD
VGDIM,A,0000,D,CRHD
VGDIM,A,0000,D,CRHD
VGE01,A,0000,D,CRHD
VGE01,A,0000,D,CRHD
VGE02,A,0000,D,CRHD
VGE02,A,0000,D,CRHD
VGE03,A,0000,D,CRHD
VGE03,A,0000,D,CRHD
VGE04,A,0000,D,CRHD
VGE04,A,0000,D,CRHD
VGE05,A,0000,D,CRHD
VGE05,A,0000,D,CRHD
VGE06,A,0000,D,CRHD
VGE06,A,0000,D,CRHD
VGWTS,A,0000,D,CRHD
VGWTS,A,0000,D,CRHD
WERKS,A,0000,D,CRHD
WERKS,A,0000,D,CRHD
ZEIWM,A,0000,D,CRHD
ZEIWM,A,0000,D,CRHD
ZEIWN,A,0000,D,CRHD
ZEIWN,A,0000,D,CRHD
ZGR01,A,0000,D,CRHD
ZGR01,A,0000,D,CRHD
ZGR02,A,0000,D,CRHD
ZGR02,A,0000,D,CRHD
ZGR03,A,0000,D,CRHD
ZGR03,A,0000,D,CRHD
ZGR04,A,0000,D,CRHD
ZGR04,A,0000,D,CRHD
ZGR05,A,0000,D,CRHD
ZGR05,A,0000,D,CRHD
ZGR06,A,0000,D,CRHD
ZGR06,A,0000,D,CRHD
MANDT,A,0000,D,MANDT
CR_OBJTY,A,0000,D,OBJTY
Value,A,0000,D,Value
CR_OBJID,A,0000,D,OBJID
SPRAS,A,0000,D,SPRAS
AEDTM,A,0000,D,AEDAT_TEXT
USRNAME,A,0000,D,AENAM_TEXT
CR_KTEXT,A,0000,D,KTEXT
CR_KTEXTUP,A,0000,D,KTEXT_UP
Field,A,0000,D,Table
MANDT,A,0000,D,CRTX
OBJID,A,0000,D,CRTX
OBJID,A,0000,D,CRTX
OBJID,A,0000,D,CRTX
SPRAS,A,0000,D,CRTX
MANDT,A,0000,D,MANDT
KTOPL,A,0000,D,KTOPL
KSTAR,A,0000,D,KSTAR
ERFDT,A,0000,D,ERSDA
ERFNM,A,0000,D,USNAM
STEUK,A,0000,D,STEKZ
Value,A,0000,D,Value
KZZAH,A,0000,D,ZAHKZ
Value,A,0000,D,Value
KSTSN,A,0000,D,KSTSN
FKBER,A,0000,D,FUNC_AREA
Field,A,0000,D,Table
FUNC_AREA,A,0000,D,CSKA
FUNC_AREA,A,0000,D,CSKA
KTOPL,A,0000,D,CSKA
KTOPL,A,0000,D,CSKA
MANDT,A,0000,D,MANDT
KOKRS,A,0000,D,KOKRS
KSTAR,A,0000,D,KSTAR
DATBI,A,0000,D,DATBI
DATAB,A,0000,D,DATAB
KATYP,A,0000,D,KATYP
Value,A,0000,D,Value
ERFDT,A,0000,D,ERSDA
ERFNM,A,0000,D,USNAM
EIGEN,A,0000,D,EIGEN
PLAZU,A,0000,D,PLAZU
PLAOR,A,0000,D,PLAOR
PLAUS,A,0000,D,PLAUS
KOSTL,A,0000,D,KOSTL
AUFNR,A,0000,D,AUFNR
MGEFL,A,0000,D,MGEFL
Value,A,0000,D,Value
MSEHI,A,0000,D,MSEHI
CO_DEAKT,A,0000,D,DEAKT
Value,A,0000,D,Value
CO_LOEFL,A,0000,D,LOEVM
Value,A,0000,D,Value
JV_RECIND,A,0000,D,RECID
Field,A,0000,D,Table
AUFNR,A,0000,D,CSKB
AUFNR,A,0000,D,CSKB
KOKRS,A,0000,D,CSKB
KOKRS,A,0000,D,CSKB
KOSTL,A,0000,D,CSKB
KOSTL,A,0000,D,CSKB
KOSTL,A,0000,D,CSKB
KOSTL,A,0000,D,CSKB
KSTAR,A,0000,D,CSKB
KSTAR,A,0000,D,CSKB
KSTAR,A,0000,D,CSKB
MSEHI,A,0000,D,CSKB
MSEHI,A,0000,D,CSKB
RECID,A,0000,D,CSKB
RECID,A,0000,D,CSKB
RECID,A,0000,D,CSKB
MANDT,A,0000,D,MANDT
KOKRS,A,0000,D,KOKRS
KOSTL,A,0000,D,KOSTL
DATBI,A,0000,D,DATBI
DATAB,A,0000,D,DATAB
BKZKP,A,0000,D,BKZKP
Value,A,0000,D,Value
PKZKP,A,0000,D,PKZKP
Value,A,0000,D,Value
BUKRS,A,0000,D,BUKRS
GSBER,A,0000,D,GSBER
KOSAR,A,0000,D,KOSAR
VERAK,A,0000,D,VERAK
VERAK_USER,A,0000,D,VERAK_USER
WAERS,A,0000,D,WAERS
AUFKALSM,A,0000,D,KALSM
TXJCD,A,0000,D,TXJCD
PRCTR,A,0000,D,PRCTR
WERKS_D,A,0000,D,WERKS
LOGSYSTEM,A,0000,D,LOGSYSTEM
ERFDT,A,0000,D,ERSDA
ERFNM,A,0000,D,USNAM
BKZKS,A,0000,D,BKZKS
Value,A,0000,D,Value
BKZER,A,0000,D,BKZER
Value,A,0000,D,Value
BKZOB,A,0000,D,BKZOB
Value,A,0000,D,Value
PKZKS,A,0000,D,PKZKS
Value,A,0000,D,Value
PKZER,A,0000,D,PKZER
Value,A,0000,D,Value
VMETH,A,0000,D,VMETH
MGEFL,A,0000,D,MGEFL
Value,A,0000,D,Value
ABTEI,A,0000,D,ABTEI
NKOST,A,0000,D,NKOST
KVEWE,A,0000,D,KVEWE
KAPPL,A,0000,D,KAPPL
KOSZSCHL,A,0000,D,KOSZSCHL
LAND1,A,0000,D,LAND1
ANRED,A,0000,D,ANRED
NAME1_GP,A,0000,D,NAME1
NAME2_GP,A,0000,D,NAME2
NAME3_GP,A,0000,D,NAME3
NAME4_GP,A,0000,D,NAME4
ORT01_GP,A,0000,D,ORT01
ORT02_GP,A,0000,D,ORT02
STRAS_GP,A,0000,D,STRAS
PFACH,A,0000,D,PFACH
PSTLZ,A,0000,D,PSTLZ
PSTL2,A,0000,D,PSTL2
REGIO,A,0000,D,REGIO
SPRAS,A,0000,D,SPRAS
TELBX,A,0000,D,TELBX
TELF1,A,0000,D,TELF1
TELF2,A,0000,D,TELF2
TELFX,A,0000,D,TELFX
TELTX,A,0000,D,TELTX
TELX1,A,0000,D,TELX1
DATLT,A,0000,D,DATLT
KDNAM,A,0000,D,DRNAM
KHINR,A,0000,D,KHINR
CCKEY,A,0000,D,CCKEY
KSKOM,A,0000,D,KOMPL
Value,A,0000,D,Value
STAKZ,A,0000,D,STAKZ
J_OBJNR,A,0000,D,OBJNR
FUNKT_DLK,A,0000,D,FUNKT
AFUNK_DLK,A,0000,D,AFUNK
CCA_TEMPL_CPI,A,0000,D,CPI_TEMPL
CCA_TEMPL_CPD,A,0000,D,CPD_TEMPL
FKBER,A,0000,D,FUNC_AREA
CCA_TEMPL_SCI,A,0000,D,SCI_TEMPL
CCA_TEMPL_SCD,A,0000,D,SCD_TEMPL
JV_NAME,A,0000,D,VNAME
JV_RECIND,A,0000,D,RECID
JV_ETYPE,A,0000,D,ETYPE
JV_OTYPE,A,0000,D,JV_OTYPE
JV_JIBCL,A,0000,D,JV_JIBCL
JV_JIBSA,A,0000,D,JV_JIBSA
FE_IND,A,0000,D,FERC_IND
Field,A,0000,D,Table
BUKRS,A,0000,D,CSKS
BUKRS,A,0000,D,CSKS
CPD_TEMPL,A,0000,D,CSKS
CPD_TEMPL,A,0000,D,CSKS
CPD_TEMPL,A,0000,D,CSKS
CPI_TEMPL,A,0000,D,CSKS
CPI_TEMPL,A,0000,D,CSKS
CPI_TEMPL,A,0000,D,CSKS
ETYPE,A,0000,D,CSKS
ETYPE,A,0000,D,CSKS
ETYPE,A,0000,D,CSKS
ETYPE,A,0000,D,CSKS
FERC_IND,A,0000,D,CSKS
FERC_IND,A,0000,D,CSKS
FUNC_AREA,A,0000,D,CSKS
FUNC_AREA,A,0000,D,CSKS
GSBER,A,0000,D,CSKS
GSBER,A,0000,D,CSKS
JV_JIBCL,A,0000,D,CSKS
JV_JIBCL,A,0000,D,CSKS
JV_JIBCL,A,0000,D,CSKS
JV_JIBSA,A,0000,D,CSKS
JV_JIBSA,A,0000,D,CSKS
JV_JIBSA,A,0000,D,CSKS
JV_JIBSA,A,0000,D,CSKS
KALSM,A,0000,D,CSKS
KALSM,A,0000,D,CSKS
KAPPL,A,0000,D,CSKS
KOKRS,A,0000,D,CSKS
KOKRS,A,0000,D,CSKS
KOSAR,A,0000,D,CSKS
KOSAR,A,0000,D,CSKS
KVEWE,A,0000,D,CSKS
LAND1,A,0000,D,CSKS
LAND1,A,0000,D,CSKS
LOGSYSTEM,A,0000,D,CSKS
OBJNR,A,0000,D,CSKS
OBJNR,A,0000,D,CSKS
RECID,A,0000,D,CSKS
RECID,A,0000,D,CSKS
RECID,A,0000,D,CSKS
REGIO,A,0000,D,CSKS
REGIO,A,0000,D,CSKS
REGIO,A,0000,D,CSKS
SCD_TEMPL,A,0000,D,CSKS
SCD_TEMPL,A,0000,D,CSKS
SCD_TEMPL,A,0000,D,CSKS
SCI_TEMPL,A,0000,D,CSKS
SCI_TEMPL,A,0000,D,CSKS
SCI_TEMPL,A,0000,D,CSKS
SPRAS,A,0000,D,CSKS
TXJCD,A,0000,D,CSKS
TXJCD,A,0000,D,CSKS
TXJCD,A,0000,D,CSKS
VERAK_USER,A,0000,D,CSKS
VNAME,A,0000,D,CSKS
VNAME,A,0000,D,CSKS
VNAME,A,0000,D,CSKS
WAERS,A,0000,D,CSKS
WAERS,A,0000,D,CSKS
WERKS,A,0000,D,CSKS
WERKS,A,0000,D,CSKS
MANDT,A,0000,D,MANDT
SPRAS,A,0000,D,SPRAS
KOKRS,A,0000,D,KOKRS
KOSTL,A,0000,D,KOSTL
DATBI,A,0000,D,DATBI
KTEXT,A,0000,D,KTEXT
KLTXT,A,0000,D,LTEXT
MCDS3,A,0000,D,MCTXT
Field,A,0000,D,Table
KOKRS,A,0000,D,CSKT
KOKRS,A,0000,D,CSKT
KOSTL,A,0000,D,CSKT
KOSTL,A,0000,D,CSKT
KOSTL,A,0000,D,CSKT
KOSTL,A,0000,D,CSKT
MANDT,A,0000,D,CSKT
SPRAS,A,0000,D,CSKT
MANDT,A,0000,D,MANDT
SPRAS,A,0000,D,SPRAS
KTOPL,A,0000,D,KTOPL
KSTAR,A,0000,D,KSTAR
KTEXT,A,0000,D,KTEXT
KLTXT,A,0000,D,LTEXT
MCDS2,A,0000,D,MCTXT
Field,A,0000,D,Table
KSTAR,A,0000,D,CSKU
KSTAR,A,0000,D,CSKU
KSTAR,A,0000,D,CSKU
KTOPL,A,0000,D,CSKU
KTOPL,A,0000,D,CSKU
SPRAS,A,0000,D,CSKU
TABNAME,A,0000,D,TABNAME
AS4LOCAL,A,0000,D,AS4LOCAL
Value,A,0000,D,Value
AS4VERS,A,0000,D,AS4VERS
TABCLASS,A,0000,D,TABCLASS
Value,A,0000,D,Value
SQLAPPDTAB,A,0000,D,SQLTAB
DATMIN,A,0000,D,DATMIN
DATMAX,A,0000,D,DATMAX
DATAVG,A,0000,D,DATAVG
CLIDEP,A,0000,D,CLIDEP
Value,A,0000,D,Value
BUFFERED,A,0000,D,BUFFERED
Value,A,0000,D,Value
COMPREX,A,0000,D,COMPRFLAG
Value,A,0000,D,Value
LANGDEP,A,0000,D,LANGDEP
Value,A,0000,D,Value
ACTFLAG,A,0000,D,ACTFLAG
Value,A,0000,D,Value
APPLCLASS,A,0000,D,APPLCLASS
AUTHCLASS_,A,0000,D,AUTHCLASS
Value,A,0000,D,Value
AS4USER,A,0000,D,AS4USER
AS4DATE,A,0000,D,AS4DATE
AS4TIME,A,0000,D,AS4TIME
MASTERLANG,A,0000,D,MASTERLANG
MAINTFLAG,A,0000,D,MAINFLAG
Value,A,0000,D,Value
CONTFLAG,A,0000,D,CONTFLAG
Value,A,0000,D,Value
RESERVETAB,A,0000,D,RESERVETAB
GLOBALFLAG,A,0000,D,GLOBALFLAG
Value,A,0000,D,Value
PROZPUFF,A,0000,D,PROZPUFF
VIEWCLASS,A,0000,D,VIEWCLASS
Value,A,0000,D,Value
VIEWGRANT,A,0000,D,VIEWGRANT
Value,A,0000,D,Value
MULTIPLEX,A,0000,D,MULTIPLEX
Value,A,0000,D,Value
SHLPEXI,A,0000,D,SHLPEXI
Value,A,0000,D,Value
DDPROXYTY,A,0000,D,PROXYTYPE
Value,A,0000,D,Value
DDRANKING,A,0000,D,EXCLASS
Value,A,0000,D,Value
DDWRONGCL,A,0000,D,WRONGCL
Value,A,0000,D,Value
DDALWAYSTRP,A,0000,D,ALWAYSTRP
TABNAME,A,0000,D,TABNAME
FIELDNAME,A,0000,D,FIELDNAME
AS4LOCAL,A,0000,D,AS4LOCAL
Value,A,0000,D,Value
AS4VERS,A,0000,D,AS4VERS
TABFDPOS,A,0000,D,POSITION
KEYFLAG,A,0000,D,KEYFLAG
Value,A,0000,D,Value
MANDATORY,A,0000,D,MANDATORY
Value,A,0000,D,Value
ROLLNAME,A,0000,D,ROLLNAME
CHECKTABLE,A,0000,D,CHECKTABLE
ADMINFIELD,A,0000,D,ADMINFIELD
Value,A,0000,D,Value
INTTYPE,A,0000,D,INTTYPE
Value,A,0000,D,Value
INTLEN,A,0000,D,INTLEN
REFTABLE,A,0000,D,REFTABLE
PRECFIELD,A,0000,D,PRECFIELD
REFFIELD,A,0000,D,REFFIELD
CONROUT,A,0000,D,CONROUT
NOTNULL,A,0000,D,NOTNULL
Value,A,0000,D,Value
DATATYPE_D,A,0000,D,DATATYPE
Value,A,0000,D,Value
DDLENG,A,0000,D,LENG
DECIMALS,A,0000,D,DECIMALS
DOMNAME,A,0000,D,DOMNAME
SHLPORIGIN,A,0000,D,SHLPORIGIN
Value,A,0000,D,Value
DDTABTYPE,A,0000,D,TABLETYPE
Value,A,0000,D,Value
TYPEDEPTH,A,0000,D,DEPTH
COMPTYPE,A,0000,D,COMPTYPE
Value,A,0000,D,Value
DDREFTYPE,A,0000,D,REFTYPE
Value,A,0000,D,Value
DDLANGUFLG,A,0000,D,LANGUFLAG
Value,A,0000,D,Value
TABFDPOS,A,0000,D,DBPOSITION
DDANONYM,A,0000,D,ANONYMOUS
Value,A,0000,D,Value
OUTPUTSTYLE,A,0000,D,OUTPUTSTYLE
Value,A,0000,D,Value
Field,A,0000,D,Table
DOMNAME,A,0000,D,DD03L
ROLLNAME,A,0000,D,DD03L
TABNAME,A,0000,D,DD03L
MANDT,A,0000,D,MANDT
BANFN,A,0000,D,BANFN
BNFPO,A,0000,D,BNFPO
BBSRT,A,0000,D,BSART
BSTYP,A,0000,D,BSTYP
Value,A,0000,D,Value
BSAKZ,A,0000,D,BSAKZ
Value,A,0000,D,Value
ELOEK,A,0000,D,LOEKZ
BANST,A,0000,D,STATU
Value,A,0000,D,Value
ESTKZ,A,0000,D,ESTKZ
Value,A,0000,D,Value
FRGKZ,A,0000,D,FRGKZ
FRGZU,A,0000,D,FRGZU
FRGST,A,0000,D,FRGST
EKGRP,A,0000,D,EKGRP
ERNAM,A,0000,D,ERNAM
AEDAT,A,0000,D,ERDAT
AFNAM,A,0000,D,AFNAM
TXZ01,A,0000,D,TXZ01
MATNR,A,0000,D,MATNR
EMATN,A,0000,D,EMATN
EWERK,A,0000,D,WERKS
LGORT_D,A,0000,D,LGORT
BEDNR,A,0000,D,BEDNR
MATKL,A,0000,D,MATKL
RESWK,A,0000,D,RESWK
BAMNG,A,0000,D,MENGE
BAMEI,A,0000,D,MEINS
BUMNG,A,0000,D,BUMNG
BADAT,A,0000,D,BADAT
LPEIN,A,0000,D,LPEIN
EINDT,A,0000,D,LFDAT
FRGDT,A,0000,D,FRGDT
WEBAZ,A,0000,D,WEBAZ
BAPRE,A,0000,D,PREIS
EPEIN,A,0000,D,PEINH
PSTYP,A,0000,D,PSTYP
KNTTP,A,0000,D,KNTTP
KZVBR,A,0000,D,KZVBR
Value,A,0000,D,Value
KFLAG,A,0000,D,KFLAG
Value,A,0000,D,Value
VRTKZ,A,0000,D,VRTKZ
Value,A,0000,D,Value
TWRKZ,A,0000,D,TWRKZ
Value,A,0000,D,Value
WEPOS,A,0000,D,WEPOS
Value,A,0000,D,Value
WEUNB,A,0000,D,WEUNB
Value,A,0000,D,Value
REPOS,A,0000,D,REPOS
Value,A,0000,D,Value
WLIEF,A,0000,D,LIFNR
FLIEF,A,0000,D,FLIEF
EKORG,A,0000,D,EKORG
BSTYP,A,0000,D,VRTYP
Value,A,0000,D,Value
KONNR,A,0000,D,KONNR
KTPNR,A,0000,D,KTPNR
INFNR,A,0000,D,INFNR
DZUGBA,A,0000,D,ZUGBA
Value,A,0000,D,Value
QUNUM,A,0000,D,QUNUM
QUPOS,A,0000,D,QUPOS
DISPO,A,0000,D,DISPO
SERNR,A,0000,D,SERNR
BVDAT,A,0000,D,BVDAT
BATOL,A,0000,D,BATOL
BVDRK,A,0000,D,BVDRK
BSTNR,A,0000,D,EBELN
BSTPO,A,0000,D,EBELP
BEDAT,A,0000,D,BEDAT
BSMNG,A,0000,D,BSMNG
LBLNI,A,0000,D,LBLNI
BWTAR_D,A,0000,D,BWTAR
XOBLR,A,0000,D,XOBLR
Value,A,0000,D,Value
EBAKZ,A,0000,D,EBAKZ
Value,A,0000,D,Value
RSNUM,A,0000,D,RSNUM
SOBKZ,A,0000,D,SOBKZ
ARSNR,A,0000,D,ARSNR
ARSPS,A,0000,D,ARSPS
BAFIX,A,0000,D,FIXKZ
Value,A,0000,D,Value
BSTME,A,0000,D,BMEIN
REVLV,A,0000,D,REVLV
VORAB,A,0000,D,VORAB
Value,A,0000,D,Value
PACKNO,A,0000,D,PACKNO
KBNKZ,A,0000,D,KANBA
Value,A,0000,D,Value
BPUEB,A,0000,D,BPUEB
Value,A,0000,D,Value
CUOBJ,A,0000,D,CUOBJ
FRGGR,A,0000,D,FRGGR
FRGRL,A,0000,D,FRGRL
Value,A,0000,D,Value
WAKTION,A,0000,D,AKTNR
CHARG_D,A,0000,D,CHARG
UMSOK,A,0000,D,UMSOK
VERID,A,0000,D,VERID
FIPOS,A,0000,D,FIPOS
FISTL,A,0000,D,FISTL
BP_GEBER,A,0000,D,GEBER
KZCUH,A,0000,D,KZKFG
Value,A,0000,D,Value
SATNR,A,0000,D,SATNR
MNG06,A,0000,D,MNG02
DAT05,A,0000,D,DAT01
ATTYP,A,0000,D,ATTYP
Value,A,0000,D,Value
ADRNR_MM,A,0000,D,ADRNR
ADRN2,A,0000,D,ADRN2
EKUNNR,A,0000,D,KUNNR
EMLIF,A,0000,D,EMLIF
LBLKZ,A,0000,D,LBLKZ
Value,A,0000,D,Value
KZBWS,A,0000,D,KZBWS
Value,A,0000,D,Value
WAERS,A,0000,D,WAERS
IDNLF,A,0000,D,IDNLF
GSFRG,A,0000,D,GSFRG
Value,A,0000,D,Value
MPROF,A,0000,D,MPROF
KZWSO,A,0000,D,KZFME
Value,A,0000,D,Value
SPRAS,A,0000,D,SPRAS
TECHS,A,0000,D,TECHS
MFRPN,A,0000,D,MFRPN
MFRNR,A,0000,D,MFRNR
EMNFR,A,0000,D,EMNFR
SFORDN,A,0000,D,FORDN
FORDP,A,0000,D,FORDP
PLIFZ,A,0000,D,PLIFZ
BERID,A,0000,D,BERID
LZEIT,A,0000,D,UZEIT
FKBER,A,0000,D,FKBER
GM_GRANT_NBR,A,0000,D,GRANT_NBR
MEMBF,A,0000,D,MEMORY
Value,A,0000,D,Value
BANPR,A,0000,D,BANPR
Value,A,0000,D,Value
RLWRT,A,0000,D,RLWRT
BLCKD,A,0000,D,BLCKD
Value,A,0000,D,Value
REVNO,A,0000,D,REVNO
BLCKT,A,0000,D,BLCKT
BESWK,A,0000,D,BESWK
MEPROFILE,A,0000,D,EPROFILE
EPREFDOC,A,0000,D,EPREFDOC
EPREFITM,A,0000,D,EPREFITM
GMMNG,A,0000,D,GMMNG
WRTKZ,A,0000,D,WRTKZ
Value,A,0000,D,Value
RESLO,A,0000,D,RESLO
KBLNR,A,0000,D,KBLNR
KBLPOS,A,0000,D,KBLPOS
PRIO_URG,A,0000,D,PRIO_URG
PRIO_REQ,A,0000,D,PRIO_REQ
MEMORYTYPE,A,0000,D,MEMORYTYPE
Value,A,0000,D,Value
ANZSN,A,0000,D,ANZSN
MHDRZ,A,0000,D,MHDRZ
DATTP,A,0000,D,IPRKZ
NODISP,A,0000,D,NODISP
Value,A,0000,D,Value
SRM_CONTRACT_ID,A,0000,D,SRM_CONTRACT_ID
