DOMNAME,AS4LOCAL,AS4VERS,DDLANGUAGE,DATATYPE,LENG,OUTPUTLEN,DECIMALS,SIGNFLAG
OBJNR,A,0000,D,MANDT,ONR00 General Object Number,ONR00 General Object Number,MANDT,
OBJNR,A,0000,D,OBJNR,ONR00 General Object Number,ONR00 General Object Number,OBJNR,
RECID,A,0000,D,MANDT,T8JJ Recovery Indicator,T8JJ Recovery Indicator,MANDT,
RECID,A,0000,D,BUKRS,T8JJ Recovery Indicator,T8JJ Recovery Indicator,BUKRS,
RECID,A,0000,D,RECID,T8JJ Recovery Indicator,T8JJ Recovery Indicator,RECID,
REGIO,A,0000,D,MANDT,T005S Taxes: Region (Province) Key,T005S Taxes: Region (Province) Key,MANDT,
REGIO,A,0000,D,LAND1,T005S Taxes: Region (Province) Key,T005S Taxes: Region (Province) Key,LAND1,
REGIO,A,0000,D,REGIO,T005S Taxes: Region (Province) Key,T005S Taxes: Region (Province) Key,BLAND,
SCD_TEMPL,A,0000,D,SCD_TEMPL,COTPL CO-ABC Template Master Data,COTPL CO-ABC Template Master Data,TEMPLATE,
SCD_TEMPL,A,0000,D,MANDT,COTPL CO-ABC Template Master Data,COTPL CO-ABC Template Master Data,MANDT,
SCD_TEMPL,A,0000,D,KOKRS,COTPL CO-ABC Template Master Data,COTPL CO-ABC Template Master Data,KOKRS,
SCI_TEMPL,A,0000,D,MANDT,COTPL CO-ABC Template Master Data,COTPL CO-ABC Template Master Data,MANDT,
SCI_TEMPL,A,0000,D,KOKRS,COTPL CO-ABC Template Master Data,COTPL CO-ABC Template Master Data,KOKRS,
SCI_TEMPL,A,0000,D,SCI_TEMPL,COTPL CO-ABC Template Master Data,COTPL CO-ABC Template Master Data,TEMPLATE,
SPRAS,A,0000,D,SPRAS,T002 Language Keys (Component BC-I18),T002 Language Keys (Component BC-I18),SPRAS,
TXJCD,A,0000,D,MANDT,TTXJ Check Table for Tax Jurisdiction,TTXJ Check Table for Tax Jurisdiction,MANDT,
TXJCD,A,0000,D,KALSM,TTXJ Check Table for Tax Jurisdiction,TTXJ Check Table for Tax Jurisdiction,KALSM,
TXJCD,A,0000,D,TXJCD,TTXJ Check Table for Tax Jurisdiction,TTXJ Check Table for Tax Jurisdiction,TXJCD,
VERAK_USER,A,0000,D,VERAK_USER,USR02 Logon Data (Kernel-Side Use),USR02 Logon Data (Kernel-Side Use),BNAME,
VNAME,A,0000,D,MANDT,T8JV Joint Venture,T8JV Joint Venture,MANDT,
VNAME,A,0000,D,BUKRS,T8JV Joint Venture,T8JV Joint Venture,BUKRS,
VNAME,A,0000,D,VNAME,T8JV Joint Venture,T8JV Joint Venture,VNAME,
WAERS,A,0000,D,MANDT,TCURC Currency Codes,TCURC Currency Codes,MANDT,
WAERS,A,0000,D,WAERS,TCURC Currency Codes,TCURC Currency Codes,WAERS,
WERKS,A,0000,D,MANDT,T001W Plants/Branches,T001W Plants/Branches,MANDT,
WERKS,A,0000,D,WERKS,T001W Plants/Branches,T001W Plants/Branches,WERKS,
MANDT,A,0000,D,CLNT,3,3,0,
SPRAS,A,0000,D,LANG,1,1,0,
KOKRS,A,0000,D,CHAR,4,4,0,
KOSTL,A,0000,D,CHAR,10,10,0,
DATBI,A,0000,D,DATS,8,8,0,
KTEXT,A,0000,D,CHAR,20,20,0,
KLTXT,A,0000,D,CHAR,40,40,0,
MCDS3,A,0000,D,CHAR,20,20,0,
Field,A,0000,D,Foreign key field,Check table,Check table,Check field,
KOKRS,A,0000,D,MANDT,TKA01 Controlling Areas,TKA01 Controlling Areas,MANDT,
KOKRS,A,0000,D,KOKRS,TKA01 Controlling Areas,TKA01 Controlling Areas,KOKRS,
KOSTL,A,0000,D,MANDT,CSKS Cost Center Master Data,CSKS Cost Center Master Data,MANDT,
KOSTL,A,0000,D,KOKRS,CSKS Cost Center Master Data,CSKS Cost Center Master Data,KOKRS,
KOSTL,A,0000,D,KOSTL,CSKS Cost Center Master Data,CSKS Cost Center Master Data,KOSTL,
KOSTL,A,0000,D,DATBI,CSKS Cost Center Master Data,CSKS Cost Center Master Data,DATBI,
MANDT,A,0000,D,MANDT,T000 Clients,T000 Clients,MANDT,
SPRAS,A,0000,D,SPRAS,T002 Language Keys (Component BC-I18),T002 Language Keys (Component BC-I18),SPRAS,
MANDT,A,0000,D,CLNT,3,3,0,
SPRAS,A,0000,D,LANG,1,1,0,
KTOPL,A,0000,D,CHAR,4,4,0,
KSTAR,A,0000,D,CHAR,10,10,0,
KTEXT,A,0000,D,CHAR,20,20,0,
KLTXT,A,0000,D,CHAR,40,40,0,
MCDS2,A,0000,D,CHAR,20,20,0,
Field,A,0000,D,Foreign key field,Check table,Check table,Check field,
KSTAR,A,0000,D,MANDT,CSKA Cost Elements (Data Dependent on Chart of Accounts),CSKA Cost Elements (Data Dependent on Chart of Accounts),MANDT,
KSTAR,A,0000,D,KTOPL,CSKA Cost Elements (Data Dependent on Chart of Accounts),CSKA Cost Elements (Data Dependent on Chart of Accounts),KTOPL,
KSTAR,A,0000,D,KSTAR,CSKA Cost Elements (Data Dependent on Chart of Accounts),CSKA Cost Elements (Data Dependent on Chart of Accounts),KSTAR,
KTOPL,A,0000,D,MANDT,T004 Directory of Charts of Accounts,T004 Directory of Charts of Accounts,MANDT,
KTOPL,A,0000,D,KTOPL,T004 Directory of Charts of Accounts,T004 Directory of Charts of Accounts,KTOPL,
SPRAS,A,0000,D,SPRAS,T002 Language Keys (Component BC-I18),T002 Language Keys (Component BC-I18),SPRAS,
TABNAME,A,0000,D,CHAR,30,30,0,
AS4LOCAL,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,A,Entry activated or generated in this form,Entry activated or generated in this form,L,
AS4VERS,A,0000,D,NUMC,4,4,0,
TABCLASS,A,0000,D,CHAR,8,8,0,
Value,A,0000,D,TRANSP,Transparent table,Transparent table,INTTAB,
SQLAPPDTAB,A,0000,D,CHAR,30,30,0,
DATMIN,A,0000,D,NUMC,10,10,0,
DATMAX,A,0000,D,NUMC,10,10,0,
DATAVG,A,0000,D,NUMC,10,10,0,
CLIDEP,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,"No client-dependence, valid throughout system","No client-dependence, valid throughout system",X,
BUFFERED,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,' ': buffering not allowed,' ': buffering not allowed,X,
COMPREX,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Do not set flag,Do not set flag,X,
LANGDEP,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Table may not contain INCLUDE to other tables,Table may not contain INCLUDE to other tables,X,
ACTFLAG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Start of activation or activation successful,Start of activation or activation successful,I,
APPLCLASS,A,0000,D,CHAR,4,4,0,
AUTHCLASS_,A,0000,D,NUMC,2,2,0,
Value,A,0000,D,01,Nametab generation not in online (only via C program),Nametab generation not in online (only via C program),02,
AS4USER,A,0000,D,CHAR,12,12,0,
AS4DATE,A,0000,D,DATS,8,8,0,
AS4TIME,A,0000,D,TIMS,6,6,0,
MASTERLANG,A,0000,D,LANG,1,1,0,
MAINTFLAG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Display/Maintenance Allowed with Restrictions,Display/Maintenance Allowed with Restrictions,X,
CONTFLAG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,A,Application table (master and transaction data),Application table (master and transaction data),C,
RESERVETAB,A,0000,D,CHAR,4,4,0,
GLOBALFLAG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Global DE object,Global DE object,X,
PROZPUFF,A,0000,D,NUMC,3,3,0,
VIEWCLASS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,H,Help View,Help View,D,
VIEWGRANT,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,R,read only,read only,U,
MULTIPLEX,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,M,Original table for table multiplexing,Original table for table multiplexing,D,
SHLPEXI,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,FALSE,FALSE,X,
DDPROXYTY,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Is a generated proxy object,Is a generated proxy object,NULL,
DDRANKING,A,0000,D,NUMC,1,1,0,
Value,A,0000,D,NULL,Not classified,Not classified,1,
DDWRONGCL,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Classification is correct,Classification is correct,X,
DDALWAYSTRP,A,0000,D,CHAR,1,1,0,
TABNAME,A,0000,D,CHAR,30,30,0,
FIELDNAME,A,0000,D,CHAR,30,30,0,
AS4LOCAL,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,A,Entry activated or generated in this form,Entry activated or generated in this form,L,
AS4VERS,A,0000,D,NUMC,4,4,0,
TABFDPOS,A,0000,D,NUMC,4,4,0,
KEYFLAG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No key field,No key field,X,
MANDATORY,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Do not set flag,Do not set flag,X,
ROLLNAME,A,0000,D,CHAR,30,30,0,
CHECKTABLE,A,0000,D,CHAR,30,30,0,
ADMINFIELD,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Do not set flag,Do not set flag,X,
INTTYPE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,C,Character String,Character String,N,
INTLEN,A,0000,D,NUMC,6,6,0,
REFTABLE,A,0000,D,CHAR,30,30,0,
PRECFIELD,A,0000,D,CHAR,30,30,0,
REFFIELD,A,0000,D,CHAR,30,30,0,
CONROUT,A,0000,D,CHAR,10,10,0,
NOTNULL,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,NOT NULL forced,NOT NULL forced,NULL,
DATATYPE_D,A,0000,D,CHAR,4,4,0,
Value,A,0000,D,ACCP,Posting period YYYYMM,Posting period YYYYMM,CHAR,
DDLENG,A,0000,D,NUMC,6,6,0,
DECIMALS,A,0000,D,NUMC,6,6,0,
DOMNAME,A,0000,D,CHAR,30,30,0,
SHLPORIGIN,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Explicit search help attachment to field,Explicit search help attachment to field,P,
DDTABTYPE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes / TRUE,Yes / TRUE,NULL,
TYPEDEPTH,A,0000,D,NUMC,2,2,0,
COMPTYPE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,E,Data element,Data element,NULL,
DDREFTYPE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No Information,No Information,A,
DDLANGUFLG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Not selected as language field,Not selected as language field,X,
TABFDPOS,A,0000,D,NUMC,4,4,0,
DDANONYM,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No Anonymity,No Anonymity,X,
OUTPUTSTYLE,A,0000,D,NUMC,2,2,0,
Value,A,0000,D,00,Normal,Normal,01,
Field,A,0000,D,Foreign key field,Check table,Check table,Check field,
DOMNAME,A,0000,D,DOMNAME,DD01L Domains,DD01L Domains,DOMNAME,
ROLLNAME,A,0000,D,ROLLNAME,DD04L Data elements,DD04L Data elements,ROLLNAME,
TABNAME,A,0000,D,TABNAME,DD02L SAP Tables,DD02L SAP Tables,TABNAME,
MANDT,A,0000,D,CLNT,3,3,0,
BANFN,A,0000,D,CHAR,10,10,0,
BNFPO,A,0000,D,NUMC,5,5,0,
BBSRT,A,0000,D,CHAR,4,4,0,
BSTYP,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,A,Request for quotation,Request for quotation,B,
BSAKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,T,Transport,Transport,R,
ELOEK,A,0000,D,CHAR,1,1,0,
BANST,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,N,Not edited,Not edited,B,
ESTKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,B,Material requirements planning,Material requirements planning,D,
FRGKZ,A,0000,D,CHAR,1,1,0,
FRGZU,A,0000,D,CHAR,8,8,0,
FRGST,A,0000,D,CHAR,2,2,0,
EKGRP,A,0000,D,CHAR,3,3,0,
ERNAM,A,0000,D,CHAR,12,12,0,
AEDAT,A,0000,D,DATS,8,8,0,
AFNAM,A,0000,D,CHAR,12,12,0,
TXZ01,A,0000,D,CHAR,40,40,0,
MATNR,A,0000,D,CHAR,18,18,0,
EMATN,A,0000,D,CHAR,18,18,0,
EWERK,A,0000,D,CHAR,4,4,0,
LGORT_D,A,0000,D,CHAR,4,4,0,
BEDNR,A,0000,D,CHAR,10,10,0,
MATKL,A,0000,D,CHAR,9,9,0,
RESWK,A,0000,D,CHAR,4,4,0,
BAMNG,A,0000,D,QUAN,13,13,3,
BAMEI,A,0000,D,UNIT,3,3,0,
BUMNG,A,0000,D,QUAN,13,13,3,
BADAT,A,0000,D,DATS,8,8,0,
LPEIN,A,0000,D,CHAR,1,1,0,
EINDT,A,0000,D,DATS,8,8,0,
FRGDT,A,0000,D,DATS,8,8,0,
WEBAZ,A,0000,D,DEC,3,3,0,
BAPRE,A,0000,D,CURR,11,11,2,
EPEIN,A,0000,D,DEC,5,5,0,
PSTYP,A,0000,D,CHAR,1,1,0,
KNTTP,A,0000,D,CHAR,1,1,0,
KZVBR,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No consumption,No consumption,V,
KFLAG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
VRTKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Single account assignment,Single account assignment,1,
TWRKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No multiple account assignment,No multiple account assignment,1,
WEPOS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
WEUNB,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
REPOS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
WLIEF,A,0000,D,CHAR,10,10,0,
FLIEF,A,0000,D,CHAR,10,10,0,
EKORG,A,0000,D,CHAR,4,4,0,
BSTYP,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,A,Request for quotation,Request for quotation,B,
KONNR,A,0000,D,CHAR,10,10,0,
KTPNR,A,0000,D,NUMC,5,5,0,
INFNR,A,0000,D,CHAR,10,10,0,
DZUGBA,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
QUNUM,A,0000,D,CHAR,10,10,0,
QUPOS,A,0000,D,NUMC,3,3,0,
DISPO,A,0000,D,CHAR,3,3,0,
SERNR,A,0000,D,CHAR,8,8,0,
BVDAT,A,0000,D,DATS,8,8,0,
BATOL,A,0000,D,DEC,3,3,0,
BVDRK,A,0000,D,DEC,7,7,0,
BSTNR,A,0000,D,CHAR,10,10,0,
BSTPO,A,0000,D,NUMC,5,5,0,
BEDAT,A,0000,D,DATS,8,8,0,
BSMNG,A,0000,D,QUAN,13,13,3,
LBLNI,A,0000,D,CHAR,10,10,0,
BWTAR_D,A,0000,D,CHAR,10,10,0,
XOBLR,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
EBAKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
RSNUM,A,0000,D,NUMC,10,10,0,
SOBKZ,A,0000,D,CHAR,1,1,0,
ARSNR,A,0000,D,NUMC,10,10,0,
ARSPS,A,0000,D,NUMC,4,4,0,
BAFIX,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
BSTME,A,0000,D,UNIT,3,3,0,
REVLV,A,0000,D,CHAR,2,2,0,
VORAB,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
PACKNO,A,0000,D,NUMC,10,10,0,
KBNKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Replenishment Element for Kanban,Replenishment Element for Kanban,Y,
BPUEB,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Do not adopt,Do not adopt,1,
CUOBJ,A,0000,D,NUMC,18,18,0,
FRGGR,A,0000,D,CHAR,2,2,0,
FRGRL,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
WAKTION,A,0000,D,CHAR,10,10,0,
CHARG_D,A,0000,D,CHAR,10,10,0,
UMSOK,A,0000,D,CHAR,1,1,0,
VERID,A,0000,D,CHAR,4,4,0,
FIPOS,A,0000,D,CHAR,14,14,0,
FISTL,A,0000,D,CHAR,16,16,0,
BP_GEBER,A,0000,D,CHAR,10,10,0,
KZCUH,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,External configuration,External configuration,1,
SATNR,A,0000,D,CHAR,18,18,0,
MNG06,A,0000,D,QUAN,13,13,3,
DAT05,A,0000,D,DATS,8,8,0,
ATTYP,A,0000,D,CHAR,2,2,0,
Value,A,0000,D,NULL,Single material (industry),Single material (industry),00,
ADRNR_MM,A,0000,D,CHAR,10,10,0,
ADRN2,A,0000,D,CHAR,10,10,0,
EKUNNR,A,0000,D,CHAR,10,10,0,
EMLIF,A,0000,D,CHAR,10,10,0,
LBLKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
KZBWS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,No stock valuation,No stock valuation,M,
WAERS,A,0000,D,CUKY,5,5,0,
IDNLF,A,0000,D,CHAR,35,35,0,
GSFRG,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
MPROF,A,0000,D,CHAR,4,4,0,
KZWSO,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Alternative unit of measure,Alternative unit of measure,A,
SPRAS,A,0000,D,LANG,1,1,0,
TECHS,A,0000,D,CHAR,12,12,0,
MFRPN,A,0000,D,CHAR,40,40,0,
MFRNR,A,0000,D,CHAR,10,10,0,
EMNFR,A,0000,D,CHAR,10,10,0,
SFORDN,A,0000,D,CHAR,10,10,0,
FORDP,A,0000,D,NUMC,5,5,0,
PLIFZ,A,0000,D,DEC,3,3,0,
BERID,A,0000,D,CHAR,10,10,0,
LZEIT,A,0000,D,TIMS,6,6,0,
FKBER,A,0000,D,CHAR,16,16,0,
GM_GRANT_NBR,A,0000,D,CHAR,20,20,0,
MEMBF,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
BANPR,A,0000,D,CHAR,2,2,0,
Value,A,0000,D,01,Version in Process,Version in Process,02,
RLWRT,A,0000,D,CURR,15,15,2,
BLCKD,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,1,Blocked by Requester,Blocked by Requester,NULL,
REVNO,A,0000,D,CHAR,8,8,0,
BLCKT,A,0000,D,CHAR,60,60,0,
BESWK,A,0000,D,CHAR,4,4,0,
MEPROFILE,A,0000,D,CHAR,2,2,0,
EPREFDOC,A,0000,D,CHAR,10,10,0,
EPREFITM,A,0000,D,NUMC,5,5,0,
GMMNG,A,0000,D,QUAN,13,13,3,
WRTKZ,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
RESLO,A,0000,D,CHAR,4,4,0,
KBLNR,A,0000,D,CHAR,10,10,0,
KBLPOS,A,0000,D,NUMC,3,3,0,
PRIO_URG,A,0000,D,NUMC,2,2,0,
PRIO_REQ,A,0000,D,NUMC,3,3,0,
MEMORYTYPE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Document Saved as Complete,Document Saved as Complete,P,
ANZSN,A,0000,D,INT4,10,10,0,
MHDRZ,A,0000,D,DEC,4,4,0,
DATTP,A,0000,D,CHAR,1,1,0,
NODISP,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
SRM_CONTRACT_ID,A,0000,D,CHAR,10,10,0,
SRM_CONTRACT_ITEM,A,0000,D,NUMC,10,10,0,
FM_BUDGET_PERIOD,A,0000,D,CHAR,10,10,0,
/ISDFPS/ADVCODE,A,0000,D,CHAR,2,2,0,
/ISDFPS/STACODE,A,0000,D,CHAR,2,2,0,
/ISDFPS/BANFN_CS,A,0000,D,CHAR,10,10,0,
/ISDFPS/BNFPO_CS,A,0000,D,NUMC,5,5,0,
/ISDFPS/ITEM_CS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,System-Internal PReq Item,System-Internal PReq Item,S,
/ISDFPS/BSMNG_SND,A,0000,D,QUAN,13,13,3,
/ISDFPS/NO_MARD_DATA,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
SERRU,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Subcontracting,Subcontracting,1,
DISUB_SOBKZ_LB,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Normal stock,Normal stock,E,
PS_PSP_PNR,A,0000,D,NUMC,8,8,0,
KUNNR,A,0000,D,CHAR,10,10,0,
VBELN,A,0000,D,CHAR,10,10,0,
POSNR,A,0000,D,NUMC,6,6,0,
OWNER_D,A,0000,D,CHAR,10,10,0,
IUID_RELEVANT,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Relevant,Relevant,NULL,
OIH_TAXFRO,A,0000,D,CHAR,2,2,0,
OIH_HANTYP,A,0000,D,CHAR,2,2,0,
OIH_TAXTO,A,0000,D,CHAR,2,2,0,
OIH_TAXGRP,A,0000,D,CHAR,2,2,0,
OIH_OILCON,A,0000,D,DEC,5,5,2,
Value,A,0000,D,NULL,Range of permissible values for Mineral Oil Content %,Range of permissible values for Mineral Oil Content %,,
OIH_INEX,A,0000,D,CHAR,2,2,0,
OIH_PRICIE,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
OIO_SPROC,A,0000,D,CHAR,4,4,0,
OIO_SC_STATUS,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,NULL,Unprocessed,Unprocessed,1,
OIO_REF_BANFN,A,0000,D,CHAR,10,10,0,
OIO_REF_BNFPO,A,0000,D,NUMC,5,5,0,
OIO_HOLD,A,0000,D,CHAR,1,1,0,
Value,A,0000,D,X,Yes,Yes,NULL,
Field,A,0000,D,Foreign key field,Check table,Check table,Check field,
ADRN2,A,0000,D,ADRN2,ADRC Addresses (Business Address Services),ADRC Addresses (Business Address Services),ADDRNUMBER,
ADRN2,A,0000,D,MANDT,ADRC Addresses (Business Address Services),ADRC Addresses (Business Address Services),CLIENT,
ADRNR,A,0000,D,MANDT,ADRC Addresses (Business Address Services),ADRC Addresses (Business Address Services),CLIENT,
ADRNR,A,0000,D,ADRNR,ADRC Addresses (Business Address Services),ADRC Addresses (Business Address Services),ADDRNUMBER,
ADVCODE,A,0000,D,MANDT,/ISDFPS/ADVCODE2 Advice Code with Document Type,/ISDFPS/ADVCODE2 Advice Code with Document Type,MANDT,
ADVCODE,A,0000,D,BSART,/ISDFPS/ADVCODE2 Advice Code with Document Type,/ISDFPS/ADVCODE2 Advice Code with Document Type,BSART,
ADVCODE,A,0000,D,ADVCODE,/ISDFPS/ADVCODE2 Advice Code with Document Type,/ISDFPS/ADVCODE2 Advice Code with Document Type,ADVCODE,
AKTNR,A,0000,D,MANDT,"WAKH Promotion Header Data, IS-R","WAKH Promotion Header Data, IS-R",MANDT,
AKTNR,A,0000,D,AKTNR,"WAKH Promotion Header Data, IS-R","WAKH Promotion Header Data, IS-R",AKTNR,
BESWK,A,0000,D,MANDT,T001W Plants/Branches,T001W Plants/Branches,MANDT,
BESWK,A,0000,D,BESWK,T001W Plants/Branches,T001W Plants/Branches,WERKS,
BMEIN,A,0000,D,MANDT,T006 Units of Measurement,T006 Units of Measurement,MANDT,
BMEIN,A,0000,D,BMEIN,T006 Units of Measurement,T006 Units of Measurement,MSEHI,
BSART,A,0000,D,MANDT,T161 Purchasing Document Types,T161 Purchasing Document Types,MANDT,
BSART,A,0000,D,BSTYP,T161 Purchasing Document Types,T161 Purchasing Document Types,BSTYP,
BSART,A,0000,D,BSART,T161 Purchasing Document Types,T161 Purchasing Document Types,BSART,
BWTAR,A,0000,D,MANDT,T149D Global Valuation Types,T149D Global Valuation Types,MANDT,
BWTAR,A,0000,D,BWTAR,T149D Global Valuation Types,T149D Global Valuation Types,BWTAR,
DISPO,A,0000,D,WERKS,T024D MRP controllers,T024D MRP controllers,WERKS,
DISPO,A,0000,D,DISPO,T024D MRP controllers,T024D MRP controllers,DISPO,
DISPO,A,0000,D,MANDT,T024D MRP controllers,T024D MRP controllers,MANDT,
EBELN,A,0000,D,EBELN,EKKO Purchasing Document Header,EKKO Purchasing Document Header,EBELN,
EBELN,A,0000,D,MANDT,EKKO Purchasing Document Header,EKKO Purchasing Document Header,MANDT,
EBELP,A,0000,D,MANDT,EKPO Purchasing Document Item,EKPO Purchasing Document Item,MANDT,
EBELP,A,0000,D,EBELN,EKPO Purchasing Document Item,EKPO Purchasing Document Item,EBELN,
EBELP,A,0000,D,EBELP,EKPO Purchasing Document Item,EKPO Purchasing Document Item,EBELP,
EKGRP,A,0000,D,MANDT,T024 Purchasing Groups,T024 Purchasing Groups,MANDT,
EKGRP,A,0000,D,EKGRP,T024 Purchasing Groups,T024 Purchasing Groups,EKGRP,
EKORG,A,0000,D,MANDT,T024E Purchasing Organizations,T024E Purchasing Organizations,MANDT,
EKORG,A,0000,D,EKORG,T024E Purchasing Organizations,T024E Purchasing Organizations,EKORG,
EMATN,A,0000,D,MANDT,MARA General Material Data,MARA General Material Data,MANDT,
EMATN,A,0000,D,EMATN,MARA General Material Data,MARA General Material Data,MATNR,
EMLIF,A,0000,D,EMLIF,LFA1 Vendor Master (General Section),LFA1 Vendor Master (General Section),LIFNR,
EMLIF,A,0000,D,MANDT,LFA1 Vendor Master (General Section),LFA1 Vendor Master (General Section),MANDT,
FLIEF,A,0000,D,MANDT,LFA1 Vendor Master (General Section),LFA1 Vendor Master (General Section),MANDT,
FLIEF,A,0000,D,FLIEF,LFA1 Vendor Master (General Section),LFA1 Vendor Master (General Section),LIFNR,
FRGGR,A,0000,D,MANDT,T16FG Release Groups,T16FG Release Groups,MANDT,
FRGGR,A,0000,D,FRGGR,T16FG Release Groups,T16FG Release Groups,FRGGR,
FRGKZ,A,0000,D,MANDT,"T161S Release Indicator, Purchase Requisition","T161S Release Indicator, Purchase Requisition",MANDT,
FRGKZ,A,0000,D,FRGKZ,"T161S Release Indicator, Purchase Requisition","T161S Release Indicator, Purchase Requisition",FRGKZ,
INFNR,A,0000,D,MANDT,EINA Purchasing Info Record: General Data,EINA Purchasing Info Record: General Data,MANDT,
INFNR,A,0000,D,INFNR,EINA Purchasing Info Record: General Data,EINA Purchasing Info Record: General Data,INFNR,
KNTTP,A,0000,D,KNTTP,T163K Account Assignment Categories in Purchasing Document,T163K Account Assignment Categories in Purchasing Document,KNTTP,
KNTTP,A,0000,D,MANDT,T163K Account Assignment Categories in Purchasing Document,T163K Account Assignment Categories in Purchasing Document,MANDT,
KONNR,A,0000,D,MANDT,EKKO Purchasing Document Header,EKKO Purchasing Document Header,MANDT,
KONNR,A,0000,D,KONNR,EKKO Purchasing Document Header,EKKO Purchasing Document Header,EBELN,
KTPNR,A,0000,D,MANDT,EKPO Purchasing Document Item,EKPO Purchasing Document Item,MANDT,
KTPNR,A,0000,D,KONNR,EKPO Purchasing Document Item,EKPO Purchasing Document Item,EBELN,
KTPNR,A,0000,D,KTPNR,EKPO Purchasing Document Item,EKPO Purchasing Document Item,EBELP,
KUNNR,A,0000,D,MANDT,KNA1 General Data in Customer Master,KNA1 General Data in Customer Master,MANDT,
