Process,Topic,SAP Table,Business Table
Production and Manufacturing,Machine Utilization,AFKO,Production Order
Production and Manufacturing,Machine Utilization,AFPO,Production Order
Production and Manufacturing,Machine Utilization,AFVC,Production Order
Production and Manufacturing,Machine Utilization,AFVV,Production Order
Production and Manufacturing,Machine Utilization,RESB,Production Order
Production and Manufacturing,Machine Utilization,CRHD,Production Order
Production and Manufacturing,Machine Utilization,MAPL,Production Order
Production and Manufacturing,Machine Utilization,PLKO,Production Order
Production and Manufacturing,Machine Utilization,PLPO,Production Order
Production and Manufacturing,Machine Utilization,STKO,Production Order
Production and Manufacturing,Machine Utilization,STPO,Production Order
Production and Manufacturing,Machine Utilization,MKPF,Inventory Movement
Production and Manufacturing,Machine Utilization,MSEG,Inventory Movement
Production and Manufacturing,Machine Utilization,MARA,Material Master
Production and Manufacturing,Machine Utilization,MARC,Material Master
Production and Manufacturing,Machine Utilization,MARD,Material Master
Production and Manufacturing,Downtime Analysis,AUFK,Production Order
Production and Manufacturing,Downtime Analysis,AFKO,Production Order
Production and Manufacturing,Downtime Analysis,AFPO,Production Order
Production and Manufacturing,Downtime Analysis,AFVC,Production Order
Production and Manufacturing,Downtime Analysis,AFVV,Production Order
Production and Manufacturing,Downtime Analysis,RESB,Production Order
Production and Manufacturing,Downtime Analysis,CRHD,Production Order
Production and Manufacturing,Downtime Analysis,MAPL,Production Order
Production and Manufacturing,Downtime Analysis,PLKO,Production Order
Production and Manufacturing,Downtime Analysis,PLPO,Production Order
Production and Manufacturing,Downtime Analysis,STKO,Production Order
Production and Manufacturing,Downtime Analysis,STPO,Production Order
Production and Manufacturing,Downtime Analysis,MKPF,Inventory Movement
Production and Manufacturing,Downtime Analysis,MSEG,Inventory Movement
Production and Manufacturing,Downtime Analysis,MARA,Material Master
Production and Manufacturing,Downtime Analysis,MARC,Material Master
Production and Manufacturing,Downtime Analysis,MARD,Material Master
Production and Manufacturing,Production Cycle Time,AUFK,Production Order
Production and Manufacturing,Production Cycle Time,AFKO,Production Order
Production and Manufacturing,Production Cycle Time,AFPO,Production Order
Production and Manufacturing,Production Cycle Time,AFVC,Production Order
Production and Manufacturing,Production Cycle Time,AFVV,Production Order
Production and Manufacturing,Production Cycle Time,RESB,Production Order
Production and Manufacturing,Production Cycle Time,CRHD,Production Order
Production and Manufacturing,Production Cycle Time,MAPL,Production Order
Production and Manufacturing,Production Cycle Time,PLKO,Production Order
Production and Manufacturing,Production Cycle Time,PLPO,Production Order
Production and Manufacturing,Production Cycle Time,STKO,Production Order
Production and Manufacturing,Production Cycle Time,STPO,Production Order
Production and Manufacturing,Production Cycle Time,MKPF,Inventory Movement
Production and Manufacturing,Production Cycle Time,MSEG,Inventory Movement
Production and Manufacturing,Production Cycle Time,MARA,Material Master
Production and Manufacturing,Production Cycle Time,MARC,Material Master
Production and Manufacturing,Production Cycle Time,MARD,Material Master
Production and Manufacturing,First pass production,AUFK,Production Order
Production and Manufacturing,First pass production,AFKO,Production Order
Production and Manufacturing,First pass production,AFPO,Production Order
Production and Manufacturing,First pass production,AFVC,Production Order
Production and Manufacturing,First pass production,AFVV,Production Order
Production and Manufacturing,First pass production,RESB,Production Order
Production and Manufacturing,First pass production,CRHD,Production Order
Production and Manufacturing,First pass production,MAPL,Production Order
Production and Manufacturing,First pass production,PLKO,Production Order
Production and Manufacturing,First pass production,PLPO,Production Order
Production and Manufacturing,First pass production,STKO,Production Order
Production and Manufacturing,First pass production,STPO,Production Order
Production and Manufacturing,First pass production,MKPF,Inventory Movement
Production and Manufacturing,First pass production,MSEG,Inventory Movement
Production and Manufacturing,First pass production,MARA,Material Master
Production and Manufacturing,First pass production,MARC,Material Master
Production and Manufacturing,First pass production,MARD,Material Master
Production and Manufacturing,Waste Levels,AUFK,Production Order
Production and Manufacturing,Waste Levels,AFKO,Production Order
Production and Manufacturing,Waste Levels,AFPO,Production Order
Production and Manufacturing,Waste Levels,AFVC,Production Order
Production and Manufacturing,Waste Levels,AFVV,Production Order
Production and Manufacturing,Waste Levels,RESB,Production Order
Production and Manufacturing,Waste Levels,CRHD,Production Order
Production and Manufacturing,Waste Levels,MAPL,Production Order
Production and Manufacturing,Waste Levels,PLKO,Production Order
Production and Manufacturing,Waste Levels,PLPO,Production Order
Production and Manufacturing,Waste Levels,STKO,Production Order
Production and Manufacturing,Waste Levels,STPO,Production Order
Production and Manufacturing,Waste Levels,MKPF,Inventory Movement
Production and Manufacturing,Waste Levels,MSEG,Inventory Movement
Production and Manufacturing,Waste Levels,MARA,Material Master
Production and Manufacturing,Waste Levels,MARC,Material Master
Production and Manufacturing,Waste Levels,MARD,Material Master
Production and Manufacturing,Energy Consumption,AUFK,Production Order
Production and Manufacturing,Energy Consumption,AFKO,Production Order
Production and Manufacturing,Energy Consumption,AFPO,Production Order
Production and Manufacturing,Energy Consumption,AFVC,Production Order
Production and Manufacturing,Energy Consumption,AFVV,Production Order
Production and Manufacturing,Energy Consumption,RESB,Production Order
Production and Manufacturing,Energy Consumption,CRHD,Production Order
Production and Manufacturing,Energy Consumption,MAPL,Production Order
Production and Manufacturing,Energy Consumption,PLKO,Production Order
Production and Manufacturing,Energy Consumption,PLPO,Production Order
Production and Manufacturing,Energy Consumption,STKO,Production Order
Production and Manufacturing,Energy Consumption,STPO,Production Order
Production and Manufacturing,Energy Consumption,MKPF,Inventory Movement
Production and Manufacturing,Energy Consumption,MSEG,Inventory Movement
Production and Manufacturing,Energy Consumption,MARA,Material Master
Production and Manufacturing,Energy Consumption,MARC,Material Master
Production and Manufacturing,Energy Consumption,MARD,Material Master
Production and Manufacturing,Production Costs per Unit,AUFK,Production Order
Production and Manufacturing,Production Costs per Unit,AFKO,Production Order
Production and Manufacturing,Production Costs per Unit,AFPO,Production Order
Production and Manufacturing,Production Costs per Unit,AFVC,Production Order
Production and Manufacturing,Production Costs per Unit,AFVV,Production Order
Production and Manufacturing,Production Costs per Unit,RESB,Production Order
Production and Manufacturing,Production Costs per Unit,CRHD,Production Order
Production and Manufacturing,Production Costs per Unit,MAPL,Production Order
Production and Manufacturing,Production Costs per Unit,PLKO,Production Order
Production and Manufacturing,Production Costs per Unit,PLPO,Production Order
Production and Manufacturing,Production Costs per Unit,STKO,Production Order
Production and Manufacturing,Production Costs per Unit,STPO,Production Order
Production and Manufacturing,Production Costs per Unit,MKPF,Inventory Movement
Production and Manufacturing,Production Costs per Unit,MSEG,Inventory Movement
Production and Manufacturing,Production Costs per Unit,MARA,Material Master
Production and Manufacturing,Production Costs per Unit,MARC,Material Master
Production and Manufacturing,Production Costs per Unit,MARD,Material Master
Production and Manufacturing,Material Utilization,AUFK,Production Order
Production and Manufacturing,Material Utilization,AFKO,Production Order
Production and Manufacturing,Material Utilization,AFPO,Production Order
Production and Manufacturing,Material Utilization,AFVC,Production Order
Production and Manufacturing,Material Utilization,AFVV,Production Order
Production and Manufacturing,Material Utilization,RESB,Production Order
Production and Manufacturing,Material Utilization,CRHD,Production Order
Production and Manufacturing,Material Utilization,MAPL,Production Order
Production and Manufacturing,Material Utilization,PLKO,Production Order
Production and Manufacturing,Material Utilization,PLPO,Production Order
Production and Manufacturing,Material Utilization,STKO,Production Order
Production and Manufacturing,Material Utilization,STPO,Production Order
Production and Manufacturing,Material Utilization,MKPF,Inventory Movement
Production and Manufacturing,Material Utilization,MSEG,Inventory Movement
Production and Manufacturing,Material Utilization,MARA,Material Master
Production and Manufacturing,Material Utilization,MARC,Material Master
Production and Manufacturing,Material Utilization,MARD,Material Master
Production and Manufacturing,Workforce Efficiency,AUFK,Production Order
Production and Manufacturing,Workforce Efficiency,AFKO,Production Order
Production and Manufacturing,Workforce Efficiency,AFPO,Production Order
Production and Manufacturing,Workforce Efficiency,AFVC,Production Order
Production and Manufacturing,Workforce Efficiency,AFVV,Production Order
Production and Manufacturing,Workforce Efficiency,RESB,Production Order
Production and Manufacturing,Workforce Efficiency,CRHD,Production Order
Production and Manufacturing,Workforce Efficiency,MAPL,Production Order
Production and Manufacturing,Workforce Efficiency,PLKO,Production Order
Production and Manufacturing,Workforce Efficiency,PLPO,Production Order
Production and Manufacturing,Workforce Efficiency,STKO,Production Order
Production and Manufacturing,Workforce Efficiency,STPO,Production Order
Production and Manufacturing,Workforce Efficiency,MKPF,Inventory Movement
Production and Manufacturing,Workforce Efficiency,MSEG,Inventory Movement
Production and Manufacturing,Workforce Efficiency,MARA,Material Master
Production and Manufacturing,Workforce Efficiency,MARC,Material Master
Production and Manufacturing,Workforce Efficiency,MARD,Material Master
Production and Manufacturing,MassBalance,AUFK,Production Order
Production and Manufacturing,MassBalance,AFKO,Production Order
Production and Manufacturing,MassBalance,AFPO,Production Order
Production and Manufacturing,MassBalance,AFVC,Production Order
Production and Manufacturing,MassBalance,AFVV,Production Order
Production and Manufacturing,MassBalance,RESB,Production Order
Production and Manufacturing,MassBalance,CRHD,Production Order
Production and Manufacturing,MassBalance,MAPL,Production Order
Production and Manufacturing,MassBalance,PLKO,Production Order
Production and Manufacturing,MassBalance,PLPO,Production Order
Production and Manufacturing,MassBalance,STKO,Production Order
Production and Manufacturing,MassBalance,STPO,Production Order
Production and Manufacturing,MassBalance,MKPF,Inventory Movement
Production and Manufacturing,MassBalance,MSEG,Inventory Movement
Production and Manufacturing,MassBalance,MARA,Material Master
Production and Manufacturing,MassBalance,MARC,Material Master
Production and Manufacturing,MassBalance,MARD,Material Master
Logistics and Transportation,Freight Cost per Unit,LIKP,Delivery Header
Logistics and Transportation,Freight Cost per Unit,LIPS,Delivery Item
Logistics and Transportation,Freight Cost per Unit,VTTK,Shipment Header
Logistics and Transportation,Freight Cost per Unit,VTTP,Shipment Item
Logistics and Transportation,Freight Cost per Unit,VTTS,Shipment Stage
Logistics and Transportation,Freight Cost per Unit,VFKP,Shipment Cost Header
Logistics and Transportation,Freight Cost per Unit,VFKN,Shipment Cost Item
Logistics and Transportation,Freight Cost per Unit,VTFA,Shipment Document Flow
Logistics and Transportation,Freight Cost per Unit,EKPO,Purchase Order
Logistics and Transportation,Freight Cost per Unit,MKPF,Inventory Movement
Logistics and Transportation,Freight Cost per Unit,MSEG,Inventory Movement
Logistics and Transportation,Freight Cost per Unit,LFA1,Supplier Master
Logistics and Transportation,Freight Cost per Unit,KNA1,Customer Master
Logistics and Transportation,Carrier Performance,LIKP,Delivery Header
Logistics and Transportation,Carrier Performance,LIPS,Delivery Item
Logistics and Transportation,Carrier Performance,VTTK,Shipment Header
Logistics and Transportation,Carrier Performance,VTTP,Shipment Item
Logistics and Transportation,Carrier Performance,VTTS,Shipment Stage
Logistics and Transportation,Carrier Performance,VFKP,Shipment Cost Header
Logistics and Transportation,Carrier Performance,VFKN,Shipment Cost Item
Logistics and Transportation,Carrier Performance,VTFA,Shipment Document Flow
Logistics and Transportation,Carrier Performance,EKPO,Purchase Order
Logistics and Transportation,Carrier Performance,MKPF,Inventory Movement
Logistics and Transportation,Carrier Performance,MSEG,Inventory Movement
Logistics and Transportation,Carrier Performance,LFA1,Supplier Master
Logistics and Transportation,Carrier Performance,KNA1,Customer Master
Logistics and Transportation,Transportation Modes Analysis,LIKP,Delivery Header
Logistics and Transportation,Transportation Modes Analysis,LIPS,Delivery Item
Logistics and Transportation,Transportation Modes Analysis,VTTK,Shipment Header
Logistics and Transportation,Transportation Modes Analysis,VTTP,Shipment Item
Logistics and Transportation,Transportation Modes Analysis,VTTS,Shipment Stage
Logistics and Transportation,Transportation Modes Analysis,VFKP,Shipment Cost Header
Logistics and Transportation,Transportation Modes Analysis,VFKN,Shipment Cost Item
Logistics and Transportation,Transportation Modes Analysis,VTFA,Shipment Document Flow
Logistics and Transportation,Transportation Modes Analysis,EKPO,Purchase Order
Logistics and Transportation,Transportation Modes Analysis,MKPF,Inventory Movement
Logistics and Transportation,Transportation Modes Analysis,MSEG,Inventory Movement
Logistics and Transportation,Transportation Modes Analysis,LFA1,Supplier Master
Logistics and Transportation,Transportation Modes Analysis,KNA1,Customer Master
Logistics and Transportation,Fuel Consumption,LIKP,Delivery Header
Logistics and Transportation,Fuel Consumption,LIPS,Delivery Item
Logistics and Transportation,Fuel Consumption,VTTK,Shipment Header
Logistics and Transportation,Fuel Consumption,VTTP,Shipment Item
Logistics and Transportation,Fuel Consumption,VTTS,Shipment Stage
Logistics and Transportation,Fuel Consumption,VFKP,Shipment Cost Header
Logistics and Transportation,Fuel Consumption,VFKN,Shipment Cost Item
Logistics and Transportation,Fuel Consumption,VTFA,Shipment Document Flow
Logistics and Transportation,Fuel Consumption,EKPO,Purchase Order
Logistics and Transportation,Fuel Consumption,MKPF,Inventory Movement
Logistics and Transportation,Fuel Consumption,MSEG,Inventory Movement
Logistics and Transportation,Fuel Consumption,LFA1,Supplier Master
Logistics and Transportation,Fuel Consumption,KNA1,Customer Master
Logistics and Transportation,Transport Load Optimization,LIKP,Delivery Header
Logistics and Transportation,Transport Load Optimization,LIPS,Delivery Item
Logistics and Transportation,Transport Load Optimization,VTTK,Shipment Header
Logistics and Transportation,Transport Load Optimization,VTTP,Shipment Item
Logistics and Transportation,Transport Load Optimization,VTTS,Shipment Stage
Logistics and Transportation,Transport Load Optimization,VFKP,Shipment Cost Header
Logistics and Transportation,Transport Load Optimization,VFKN,Shipment Cost Item
Logistics and Transportation,Transport Load Optimization,VTFA,Shipment Document Flow
Logistics and Transportation,Transport Load Optimization,EKPO,Purchase Order
Logistics and Transportation,Transport Load Optimization,MKPF,Inventory Movement
Logistics and Transportation,Transport Load Optimization,MSEG,Inventory Movement
Logistics and Transportation,Transport Load Optimization,LFA1,Supplier Master
Logistics and Transportation,Transport Load Optimization,KNA1,Customer Master
Logistics and Transportation,Reverse Logistics Costs,LIKP,Delivery Header
Logistics and Transportation,Reverse Logistics Costs,LIPS,Delivery Item
Logistics and Transportation,Reverse Logistics Costs,VTTK,Shipment Header
Logistics and Transportation,Reverse Logistics Costs,VTTP,Shipment Item
Logistics and Transportation,Reverse Logistics Costs,VTTS,Shipment Stage
Logistics and Transportation,Reverse Logistics Costs,VFKP,Shipment Cost Header
Logistics and Transportation,Reverse Logistics Costs,VFKN,Shipment Cost Item
Logistics and Transportation,Reverse Logistics Costs,VTFA,Shipment Document Flow
Logistics and Transportation,Reverse Logistics Costs,EKPO,Purchase Order
Logistics and Transportation,Reverse Logistics Costs,MKPF,Inventory Movement
Logistics and Transportation,Reverse Logistics Costs,MSEG,Inventory Movement
Logistics and Transportation,Reverse Logistics Costs,LFA1,Supplier Master
Logistics and Transportation,Reverse Logistics Costs,KNA1,Customer Master
Logistics and Transportation,Customs and Tariffs,LIKP,Delivery Header
Logistics and Transportation,Customs and Tariffs,LIPS,Delivery Item
Logistics and Transportation,Customs and Tariffs,VTTK,Shipment Header
Logistics and Transportation,Customs and Tariffs,VTTP,Shipment Item
Logistics and Transportation,Customs and Tariffs,VTTS,Shipment Stage
Logistics and Transportation,Customs and Tariffs,VFKP,Shipment Cost Header
Logistics and Transportation,Customs and Tariffs,VFKN,Shipment Cost Item
Logistics and Transportation,Customs and Tariffs,VTFA,Shipment Document Flow
Logistics and Transportation,Customs and Tariffs,EKPO,Purchase Order
Logistics and Transportation,Customs and Tariffs,MKPF,Inventory Movement
Logistics and Transportation,Customs and Tariffs,MSEG,Inventory Movement
Logistics and Transportation,Customs and Tariffs,LFA1,Supplier Master
Logistics and Transportation,Customs and Tariffs,KNA1,Customer Master
Logistics and Transportation,Delivery Lead Time Variability,LIKP,Delivery Header
Logistics and Transportation,Delivery Lead Time Variability,LIPS,Delivery Item
Logistics and Transportation,Delivery Lead Time Variability,VTTK,Shipment Header
Logistics and Transportation,Delivery Lead Time Variability,VTTP,Shipment Item
Logistics and Transportation,Delivery Lead Time Variability,VTTS,Shipment Stage
Logistics and Transportation,Delivery Lead Time Variability,VFKP,Shipment Cost Header
Logistics and Transportation,Delivery Lead Time Variability,VFKN,Shipment Cost Item
Logistics and Transportation,Delivery Lead Time Variability,VTFA,Shipment Document Flow
Logistics and Transportation,Delivery Lead Time Variability,EKPO,Purchase Order
Logistics and Transportation,Delivery Lead Time Variability,MKPF,Inventory Movement
Logistics and Transportation,Delivery Lead Time Variability,MSEG,Inventory Movement
Logistics and Transportation,Delivery Lead Time Variability,LFA1,Supplier Master
Logistics and Transportation,Delivery Lead Time Variability,KNA1,Customer Master
Logistics and Transportation,Carbon Emissions per Shipment,LIKP,Delivery Header
Logistics and Transportation,Carbon Emissions per Shipment,LIPS,Delivery Item
Logistics and Transportation,Carbon Emissions per Shipment,VTTK,Shipment Header
Logistics and Transportation,Carbon Emissions per Shipment,VTTP,Shipment Item
Logistics and Transportation,Carbon Emissions per Shipment,VTTS,Shipment Stage
Logistics and Transportation,Carbon Emissions per Shipment,VFKP,Shipment Cost Header
Logistics and Transportation,Carbon Emissions per Shipment,VFKN,Shipment Cost Item
Logistics and Transportation,Carbon Emissions per Shipment,VTFA,Shipment Document Flow
Logistics and Transportation,Carbon Emissions per Shipment,EKPO,Purchase Order
Logistics and Transportation,Carbon Emissions per Shipment,MKPF,Inventory Movement
Logistics and Transportation,Carbon Emissions per Shipment,MSEG,Inventory Movement
Logistics and Transportation,Carbon Emissions per Shipment,LFA1,Supplier Master
Logistics and Transportation,Carbon Emissions per Shipment,KNA1,Customer Master
Logistics and Transportation,Dropsize per shipment,LIKP,Delivery Header
Logistics and Transportation,Dropsize per shipment,LIPS,Delivery Item
Logistics and Transportation,Dropsize per shipment,VTTK,Shipment Header
Logistics and Transportation,Dropsize per shipment,VTTP,Shipment Item
Logistics and Transportation,Dropsize per shipment,VTTS,Shipment Stage
Logistics and Transportation,Dropsize per shipment,VFKP,Shipment Cost Header
Logistics and Transportation,Dropsize per shipment,VFKN,Shipment Cost Item
Logistics and Transportation,Dropsize per shipment,VTFA,Shipment Document Flow
Logistics and Transportation,Dropsize per shipment,EKPO,Purchase Order
Logistics and Transportation,Dropsize per shipment,MKPF,Inventory Movement
Logistics and Transportation,Dropsize per shipment,MSEG,Inventory Movement
Logistics and Transportation,Dropsize per shipment,LFA1,Supplier Master
Logistics and Transportation,Dropsize per shipment,KNA1,Customer Master
Logistics and Transportation,Client frequency,LIKP,Delivery Header
Logistics and Transportation,Client frequency,LIPS,Delivery Item
Logistics and Transportation,Client frequency,VTTK,Shipment Header
Logistics and Transportation,Client frequency,VTTP,Shipment Item
Logistics and Transportation,Client frequency,VTTS,Shipment Stage
Logistics and Transportation,Client frequency,VFKP,Shipment Cost Header
Logistics and Transportation,Client frequency,VFKN,Shipment Cost Item
Logistics and Transportation,Client frequency,VTFA,Shipment Document Flow
Logistics and Transportation,Client frequency,EKPO,Purchase Order
Logistics and Transportation,Client frequency,MKPF,Inventory Movement
Logistics and Transportation,Client frequency,MSEG,Inventory Movement
Logistics and Transportation,Client frequency,LFA1,Supplier Master
Logistics and Transportation,Client frequency,KNA1,Customer Master
Warehouse Management,Picking Accuracy,LQUA,Warehouse Quant
Warehouse Management,Picking Accuracy,LAGP,Storage Bin Master
Warehouse Management,Picking Accuracy,LTAK,Transfer Order Header
Warehouse Management,Picking Accuracy,LTAP,Transfer Order Item
Warehouse Management,Picking Accuracy,LTBK,Transfer Requirement Header
Warehouse Management,Picking Accuracy,LTBP,Transfer Requirement Item
Warehouse Management,Picking Accuracy,LEIN,Handling Unit
Warehouse Management,Picking Accuracy,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Picking Accuracy,MARD,Material Master
Warehouse Management,Picking Accuracy,MKPF,Inventory Movement
Warehouse Management,Picking Accuracy,MSEG,Inventory Movement
Warehouse Management,Picking Accuracy,LIKP,Delivery Header
Warehouse Management,Picking Accuracy,LIPS,Delivery Item
Warehouse Management,Order Cycle Time,LQUA,Warehouse Quant
Warehouse Management,Order Cycle Time,LAGP,Storage Bin Master
Warehouse Management,Order Cycle Time,LTAK,Transfer Order Header
Warehouse Management,Order Cycle Time,LTAP,Transfer Order Item
Warehouse Management,Order Cycle Time,LTBK,Transfer Requirement Header
Warehouse Management,Order Cycle Time,LTBP,Transfer Requirement Item
Warehouse Management,Order Cycle Time,LEIN,Handling Unit
Warehouse Management,Order Cycle Time,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Order Cycle Time,MARD,Material Master
Warehouse Management,Order Cycle Time,MKPF,Inventory Movement
Warehouse Management,Order Cycle Time,MSEG,Inventory Movement
Warehouse Management,Order Cycle Time,LIKP,Delivery Header
Warehouse Management,Order Cycle Time,LIPS,Delivery Item
Warehouse Management,Labor Utilization,LQUA,Warehouse Quant
Warehouse Management,Labor Utilization,LAGP,Storage Bin Master
Warehouse Management,Labor Utilization,LTAK,Transfer Order Header
Warehouse Management,Labor Utilization,LTAP,Transfer Order Item
Warehouse Management,Labor Utilization,LTBK,Transfer Requirement Header
Warehouse Management,Labor Utilization,LTBP,Transfer Requirement Item
Warehouse Management,Labor Utilization,LEIN,Handling Unit
Warehouse Management,Labor Utilization,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Labor Utilization,MARD,Material Master
Warehouse Management,Labor Utilization,MKPF,Inventory Movement
Warehouse Management,Labor Utilization,MSEG,Inventory Movement
Warehouse Management,Labor Utilization,LIKP,Delivery Header
Warehouse Management,Labor Utilization,LIPS,Delivery Item
Warehouse Management,Storage Space Utilization,LQUA,Warehouse Quant
Warehouse Management,Storage Space Utilization,LAGP,Storage Bin Master
Warehouse Management,Storage Space Utilization,LTAK,Transfer Order Header
Warehouse Management,Storage Space Utilization,LTAP,Transfer Order Item
Warehouse Management,Storage Space Utilization,LTBK,Transfer Requirement Header
Warehouse Management,Storage Space Utilization,LTBP,Transfer Requirement Item
Warehouse Management,Storage Space Utilization,LEIN,Handling Unit
Warehouse Management,Storage Space Utilization,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Storage Space Utilization,MARD,Material Master
Warehouse Management,Storage Space Utilization,MKPF,Inventory Movement
Warehouse Management,Storage Space Utilization,MSEG,Inventory Movement
Warehouse Management,Storage Space Utilization,LIKP,Delivery Header
Warehouse Management,Storage Space Utilization,LIPS,Delivery Item
Warehouse Management,Average Warehouse Stay,LQUA,Warehouse Quant
Warehouse Management,Average Warehouse Stay,LAGP,Storage Bin Master
Warehouse Management,Average Warehouse Stay,LTAK,Transfer Order Header
Warehouse Management,Average Warehouse Stay,LTAP,Transfer Order Item
Warehouse Management,Average Warehouse Stay,LTBK,Transfer Requirement Header
Warehouse Management,Average Warehouse Stay,LTBP,Transfer Requirement Item
Warehouse Management,Average Warehouse Stay,LEIN,Handling Unit
Warehouse Management,Average Warehouse Stay,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Average Warehouse Stay,MARD,Material Master
Warehouse Management,Average Warehouse Stay,MKPF,Inventory Movement
Warehouse Management,Average Warehouse Stay,MSEG,Inventory Movement
Warehouse Management,Average Warehouse Stay,LIKP,Delivery Header
Warehouse Management,Average Warehouse Stay,LIPS,Delivery Item
Warehouse Management,Order Fulfillment Rate,LQUA,Warehouse Quant
Warehouse Management,Order Fulfillment Rate,LAGP,Storage Bin Master
Warehouse Management,Order Fulfillment Rate,LTAK,Transfer Order Header
Warehouse Management,Order Fulfillment Rate,LTAP,Transfer Order Item
Warehouse Management,Order Fulfillment Rate,LTBK,Transfer Requirement Header
Warehouse Management,Order Fulfillment Rate,LTBP,Transfer Requirement Item
Warehouse Management,Order Fulfillment Rate,LEIN,Handling Unit
Warehouse Management,Order Fulfillment Rate,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Order Fulfillment Rate,MARD,Material Master
Warehouse Management,Order Fulfillment Rate,MKPF,Inventory Movement
Warehouse Management,Order Fulfillment Rate,MSEG,Inventory Movement
Warehouse Management,Order Fulfillment Rate,LIKP,Delivery Header
Warehouse Management,Order Fulfillment Rate,LIPS,Delivery Item
Warehouse Management,Equipment Downtime,LQUA,Warehouse Quant
Warehouse Management,Equipment Downtime,LAGP,Storage Bin Master
Warehouse Management,Equipment Downtime,LTAK,Transfer Order Header
Warehouse Management,Equipment Downtime,LTAP,Transfer Order Item
Warehouse Management,Equipment Downtime,LTBK,Transfer Requirement Header
Warehouse Management,Equipment Downtime,LTBP,Transfer Requirement Item
Warehouse Management,Equipment Downtime,LEIN,Handling Unit
Warehouse Management,Equipment Downtime,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Equipment Downtime,MARD,Material Master
Warehouse Management,Equipment Downtime,MKPF,Inventory Movement
Warehouse Management,Equipment Downtime,MSEG,Inventory Movement
Warehouse Management,Equipment Downtime,LIKP,Delivery Header
Warehouse Management,Equipment Downtime,LIPS,Delivery Item
Warehouse Management,Inbound/Outbound Freight Coordination,LQUA,Warehouse Quant
Warehouse Management,Inbound/Outbound Freight Coordination,LAGP,Storage Bin Master
Warehouse Management,Inbound/Outbound Freight Coordination,LTAK,Transfer Order Header
Warehouse Management,Inbound/Outbound Freight Coordination,LTAP,Transfer Order Item
Warehouse Management,Inbound/Outbound Freight Coordination,LTBK,Transfer Requirement Header
Warehouse Management,Inbound/Outbound Freight Coordination,LTBP,Transfer Requirement Item
Warehouse Management,Inbound/Outbound Freight Coordination,LEIN,Handling Unit
Warehouse Management,Inbound/Outbound Freight Coordination,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Inbound/Outbound Freight Coordination,MARD,Material Master
Warehouse Management,Inbound/Outbound Freight Coordination,MKPF,Inventory Movement
Warehouse Management,Inbound/Outbound Freight Coordination,MSEG,Inventory Movement
Warehouse Management,Inbound/Outbound Freight Coordination,LIKP,Delivery Header
Warehouse Management,Inbound/Outbound Freight Coordination,LIPS,Delivery Item
Warehouse Management,Inventory Damage Rates,LQUA,Warehouse Quant
Warehouse Management,Inventory Damage Rates,LAGP,Storage Bin Master
Warehouse Management,Inventory Damage Rates,LTAK,Transfer Order Header
Warehouse Management,Inventory Damage Rates,LTAP,Transfer Order Item
Warehouse Management,Inventory Damage Rates,LTBK,Transfer Requirement Header
Warehouse Management,Inventory Damage Rates,LTBP,Transfer Requirement Item
Warehouse Management,Inventory Damage Rates,LEIN,Handling Unit
Warehouse Management,Inventory Damage Rates,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Inventory Damage Rates,MARD,Material Master
Warehouse Management,Inventory Damage Rates,MKPF,Inventory Movement
Warehouse Management,Inventory Damage Rates,MSEG,Inventory Movement
Warehouse Management,Inventory Damage Rates,LIKP,Delivery Header
Warehouse Management,Inventory Damage Rates,LIPS,Delivery Item
Warehouse Management,Temperature Control Monitoring,LQUA,Warehouse Quant
Warehouse Management,Temperature Control Monitoring,LAGP,Storage Bin Master
Warehouse Management,Temperature Control Monitoring,LTAK,Transfer Order Header
Warehouse Management,Temperature Control Monitoring,LTAP,Transfer Order Item
Warehouse Management,Temperature Control Monitoring,LTBK,Transfer Requirement Header
Warehouse Management,Temperature Control Monitoring,LTBP,Transfer Requirement Item
Warehouse Management,Temperature Control Monitoring,LEIN,Handling Unit
Warehouse Management,Temperature Control Monitoring,RLGRAP,Inventory Snapshot by Bin
Warehouse Management,Temperature Control Monitoring,MARD,Material Master
Warehouse Management,Temperature Control Monitoring,MKPF,Inventory Movement
Warehouse Management,Temperature Control Monitoring,MSEG,Inventory Movement
Warehouse Management,Temperature Control Monitoring,LIKP,Delivery Header
Warehouse Management,Temperature Control Monitoring,LIPS,Delivery Item
Customer Service and Returns,OTIF and Customer Delivery Performance,VBAK,Sales Order Header
Customer Service and Returns,OTIF and Customer Delivery Performance,VBAP,Sales Order Item
Customer Service and Returns,OTIF and Customer Delivery Performance,VBUK,Sales Order Status Header
Customer Service and Returns,OTIF and Customer Delivery Performance,VBUP,Sales Order Status Item
Customer Service and Returns,OTIF and Customer Delivery Performance,LIKP,Delivery Header
Customer Service and Returns,OTIF and Customer Delivery Performance,LIPS,Delivery Item
