Process,Topic,SAP Table,Business Table,Fact/Dim Table,Functional Description,Measures
Production and Manufacturing,Machine Utilization,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Machine Utilization,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Machine Utilization,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Machine Utilization,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Machine Utilization,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Machine Utilization,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Machine Utilization,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Machine Utilization,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Machine Utilization,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Machine Utilization,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Machine Utilization,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Machine Utilization,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Machine Utilization,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Machine Utilization,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Machine Utilization,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Machine Utilization,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,Downtime Analysis,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,Downtime Analysis,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Downtime Analysis,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Downtime Analysis,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Downtime Analysis,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Downtime Analysis,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Downtime Analysis,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Downtime Analysis,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Downtime Analysis,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Downtime Analysis,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Downtime Analysis,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Downtime Analysis,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Downtime Analysis,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Downtime Analysis,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Downtime Analysis,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Downtime Analysis,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Downtime Analysis,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,Production Cycle Time,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,Production Cycle Time,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Production Cycle Time,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Production Cycle Time,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Production Cycle Time,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Production Cycle Time,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Production Cycle Time,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Production Cycle Time,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Production Cycle Time,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Production Cycle Time,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Production Cycle Time,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Production Cycle Time,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Production Cycle Time,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Production Cycle Time,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Production Cycle Time,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Production Cycle Time,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Production Cycle Time,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,First pass production,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,First pass production,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,First pass production,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,First pass production,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,First pass production,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,First pass production,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,First pass production,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,First pass production,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,First pass production,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,First pass production,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,First pass production,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,First pass production,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,First pass production,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,First pass production,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,First pass production,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,First pass production,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,First pass production,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,Waste Levels,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,Waste Levels,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Waste Levels,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Waste Levels,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Waste Levels,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Waste Levels,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Waste Levels,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Waste Levels,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Waste Levels,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Waste Levels,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Waste Levels,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Waste Levels,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Waste Levels,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Waste Levels,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Waste Levels,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Waste Levels,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Waste Levels,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,Energy Consumption,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,Energy Consumption,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Energy Consumption,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Energy Consumption,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Energy Consumption,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Energy Consumption,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Energy Consumption,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Energy Consumption,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Energy Consumption,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Energy Consumption,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Energy Consumption,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Energy Consumption,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Energy Consumption,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Energy Consumption,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Energy Consumption,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Energy Consumption,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Energy Consumption,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,Production Costs per Unit,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,Production Costs per Unit,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Production Costs per Unit,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Production Costs per Unit,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Production Costs per Unit,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Production Costs per Unit,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Production Costs per Unit,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Production Costs per Unit,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Production Costs per Unit,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Production Costs per Unit,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Production Costs per Unit,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Production Costs per Unit,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Production Costs per Unit,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Production Costs per Unit,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Production Costs per Unit,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Production Costs per Unit,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Production Costs per Unit,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,Material Utilization,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,Material Utilization,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Material Utilization,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Material Utilization,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Material Utilization,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Material Utilization,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Material Utilization,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Material Utilization,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Material Utilization,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Material Utilization,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Material Utilization,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Material Utilization,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Material Utilization,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Material Utilization,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Material Utilization,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Material Utilization,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Material Utilization,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,Workforce Efficiency,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,Workforce Efficiency,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,Workforce Efficiency,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,Workforce Efficiency,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,Workforce Efficiency,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,Workforce Efficiency,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,Workforce Efficiency,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,Workforce Efficiency,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,Workforce Efficiency,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,Workforce Efficiency,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,Workforce Efficiency,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,Workforce Efficiency,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,Workforce Efficiency,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,Workforce Efficiency,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,Workforce Efficiency,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,Workforce Efficiency,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,Workforce Efficiency,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Production and Manufacturing,MassBalance,AUFK,Production Order,Fact Production Order,Order master record with planning and execution status,"planned quantity, actual quantity, order cost"
Production and Manufacturing,MassBalance,AFKO,Production Order,Fact Production Order,Production order header for manufacturing progress tracking,"planned quantity, actual quantity, order value"
Production and Manufacturing,MassBalance,AFPO,Production Order,Fact Production Order,Production order item detail for component consumption,"component quantity, produced quantity"
Production and Manufacturing,MassBalance,AFVC,Production Order,Fact Production Order,Operation details for manufacturing routing and capacity scheduling,"planned hours, actual hours"
Production and Manufacturing,MassBalance,AFVV,Production Order,Fact Production Order,Operation dates and quantities for production execution,"actual quantity, scrap quantity"
Production and Manufacturing,MassBalance,RESB,Production Order,Fact Production Order,Dependent requirements and component reservations for planned production,"reserved quantity, consumed quantity, requirement quantity"
Production and Manufacturing,MassBalance,CRHD,Production Order,Dim Work Center,"Work center master for capacity, machine and labor planning",
Production and Manufacturing,MassBalance,MAPL,Production Order,Dim Work Center,Routing assignment linking operations to materials,
Production and Manufacturing,MassBalance,PLKO,Production Order,Dim Routing,Task list header for manufacturing routings and operation sequences,
Production and Manufacturing,MassBalance,PLPO,Production Order,Dim Routing,Task list operations with standard times and work centers,
Production and Manufacturing,MassBalance,STKO,Production Order,Dim Routing,Bill of materials header for product structure and components,
Production and Manufacturing,MassBalance,STPO,Production Order,Dim Routing,Bill of materials item list for component requirements,
Production and Manufacturing,MassBalance,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Production and Manufacturing,MassBalance,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Production and Manufacturing,MassBalance,MARA,Material Master,Dim Material,Core product master data with material classification and basic attributes,
Production and Manufacturing,MassBalance,MARC,Material Master,Dim Material,Material plant data for procurement and production planning,
Production and Manufacturing,MassBalance,MARD,Material Master,Dim Material,Stock by plant and storage location for inventory and availability analysis,
Logistics and Transportation,Freight Cost per Unit,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Freight Cost per Unit,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Freight Cost per Unit,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Freight Cost per Unit,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
Logistics and Transportation,Freight Cost per Unit,VTTS,Shipment Stage,Dim Shipment,Shipment stage lifecycle and status tracking,
Logistics and Transportation,Freight Cost per Unit,VFKP,Shipment Cost Header,Fact Shipment,Shipment cost header for freight and logistics cost analysis,"freight cost, surcharge amount"
Logistics and Transportation,Freight Cost per Unit,VFKN,Shipment Cost Item,Fact Shipment,Shipment cost item lines for detailed transportation costing,"freight cost, tax amount"
Logistics and Transportation,Freight Cost per Unit,VTFA,Shipment Document Flow,Dim Shipment,Shipment-document flow records linking delivery to sales and billing,
Logistics and Transportation,Freight Cost per Unit,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Logistics and Transportation,Freight Cost per Unit,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Logistics and Transportation,Freight Cost per Unit,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Logistics and Transportation,Freight Cost per Unit,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Logistics and Transportation,Freight Cost per Unit,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Logistics and Transportation,Carrier Performance,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Carrier Performance,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Carrier Performance,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Carrier Performance,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
Logistics and Transportation,Carrier Performance,VTTS,Shipment Stage,Dim Shipment,Shipment stage lifecycle and status tracking,
Logistics and Transportation,Carrier Performance,VFKP,Shipment Cost Header,Fact Shipment,Shipment cost header for freight and logistics cost analysis,"freight cost, surcharge amount"
Logistics and Transportation,Carrier Performance,VFKN,Shipment Cost Item,Fact Shipment,Shipment cost item lines for detailed transportation costing,"freight cost, tax amount"
Logistics and Transportation,Carrier Performance,VTFA,Shipment Document Flow,Dim Shipment,Shipment-document flow records linking delivery to sales and billing,
Logistics and Transportation,Carrier Performance,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Logistics and Transportation,Carrier Performance,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Logistics and Transportation,Carrier Performance,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Logistics and Transportation,Carrier Performance,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Logistics and Transportation,Carrier Performance,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Logistics and Transportation,Transportation Modes Analysis,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Transportation Modes Analysis,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Transportation Modes Analysis,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Transportation Modes Analysis,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
Logistics and Transportation,Transportation Modes Analysis,VTTS,Shipment Stage,Dim Shipment,Shipment stage lifecycle and status tracking,
Logistics and Transportation,Transportation Modes Analysis,VFKP,Shipment Cost Header,Fact Shipment,Shipment cost header for freight and logistics cost analysis,"freight cost, surcharge amount"
Logistics and Transportation,Transportation Modes Analysis,VFKN,Shipment Cost Item,Fact Shipment,Shipment cost item lines for detailed transportation costing,"freight cost, tax amount"
Logistics and Transportation,Transportation Modes Analysis,VTFA,Shipment Document Flow,Dim Shipment,Shipment-document flow records linking delivery to sales and billing,
Logistics and Transportation,Transportation Modes Analysis,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Logistics and Transportation,Transportation Modes Analysis,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Logistics and Transportation,Transportation Modes Analysis,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Logistics and Transportation,Transportation Modes Analysis,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Logistics and Transportation,Transportation Modes Analysis,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Logistics and Transportation,Fuel Consumption,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Fuel Consumption,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Fuel Consumption,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Fuel Consumption,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
Logistics and Transportation,Fuel Consumption,VTTS,Shipment Stage,Dim Shipment,Shipment stage lifecycle and status tracking,
Logistics and Transportation,Fuel Consumption,VFKP,Shipment Cost Header,Fact Shipment,Shipment cost header for freight and logistics cost analysis,"freight cost, surcharge amount"
Logistics and Transportation,Fuel Consumption,VFKN,Shipment Cost Item,Fact Shipment,Shipment cost item lines for detailed transportation costing,"freight cost, tax amount"
Logistics and Transportation,Fuel Consumption,VTFA,Shipment Document Flow,Dim Shipment,Shipment-document flow records linking delivery to sales and billing,
Logistics and Transportation,Fuel Consumption,EKPO,Purchase Order,Fact Procurement Order,"Purchase order item details with material, vendor and invoicing references","ordered quantity, order value"
Logistics and Transportation,Fuel Consumption,MKPF,Inventory Movement,Fact Inventory Movement,Material document header for goods movements and stock postings,"movement quantity, movement value"
Logistics and Transportation,Fuel Consumption,MSEG,Inventory Movement,Fact Inventory Movement,Material document item detail for inventory goods movements,"movement quantity, movement value"
Logistics and Transportation,Fuel Consumption,LFA1,Supplier Master,Dim Supplier,Supplier general master data and relationship attributes,
Logistics and Transportation,Fuel Consumption,KNA1,Customer Master,Dim Customer,Customer master general data for identification and classification,
Logistics and Transportation,Transport Load Optimization,LIKP,Delivery Header,Fact Shipment,Delivery header for outbound and inbound shipments,"shipment quantity, freight cost, transit days"
Logistics and Transportation,Transport Load Optimization,LIPS,Delivery Item,Fact Shipment,Delivery item lines with product and quantity detail,"delivered quantity, delivery value"
Logistics and Transportation,Transport Load Optimization,VTTK,Shipment Header,Dim Shipment,Shipment header master for carrier and route planning,
Logistics and Transportation,Transport Load Optimization,VTTP,Shipment Item,Dim Shipment,Shipment item detail for transport load optimization,
Logistics and Transportation,Transport Load Optimization,VTTS,Shipment Stage,Dim Shipment,Shipment stage lifecycle and status tracking,
Logistics and Transportation,Transport Load Optimization,VFKP,Shipment Cost Header,Fact Shipment,Shipment cost header for freight and logistics cost analysis,"freight cost, surcharge amount"
Logistics and Transportation,Transport Load Optimization,VFKN,Shipment Cost Item,Fact Shipment,Shipment cost item lines for detailed transportation costing,"freight cost, tax amount"
Logistics and Transportation,Transport Load Optimization,VTFA,Shipment Document Flow,Dim Shipment,Shipment-document flow records linking delivery to sales and billing,
