MANDT,MATNR,MTART,MBRSH,MATKL,MEINS,BRGEW,GEWEI,ERDAT
100,MAT000407,ROH,N,SUIKER,KG,0.878,KG,20200203
100,MAT000408,ROH,N,VANILLE,KG,4.598,KG,20200304
100,MAT000409,ROH,N,SUIKER,KG,2.103,KG,20191124
100,MAT000410,ROH,N,SUIKER,KG,3.427,KG,20180418
100,MAT000411,FERT,N,SPECULAAS,ST,3.967,KG,20210818
100,MAT000412,FERT,N,STROOPWFL,ST,1.74,KG,20191107
100,MAT000413,FERT,N,KOEKROL,ST,0.563,KG,20211021
100,MAT000414,FERT,N,BISCUIT,ST,1.994,KG,20190601
100,MAT000415,VERP,N,DOOS,ST,3.646,KG,20210906
100,MAT000416,FERT,N,WAFEL,ST,4.826,KG,20210519
100,MAT000417,FERT,N,BISCUIT,ST,4.379,KG,20191114
100,MAT000418,VERP,N,FOLIE,ST,0.499,KG,20210921
100,MAT000419,FERT,N,WAFEL,ST,0.793,KG,20191218
100,MAT000420,ROH,N,KANEEL,KG,1.62,KG,20210905
100,MAT000421,FERT,N,STROOPWFL,ST,3.523,KG,20200313
100,MAT000422,FERT,N,SPECULAAS,ST,0.732,KG,20211222
100,MAT000423,VERP,N,ETIKET,ST,4.696,KG,20190927
100,MAT000424,ROH,N,BOTER,KG,2.839,KG,20210810
100,MAT000425,VERP,N,DOOS,ST,3.979,KG,20220724
100,MAT000426,FERT,N,KOEKROL,ST,0.726,KG,20211210
100,MAT000427,FERT,N,STROOPWFL,ST,4.162,KG,20220222
100,MAT000428,FERT,N,KOEKROL,ST,4.986,KG,20201214
100,MAT000429,VERP,N,PALLET,ST,0.558,KG,20211005
100,MAT000430,ROH,N,KANEEL,KG,2.175,KG,20200112
100,MAT000431,FERT,N,BISCUIT,ST,0.189,KG,20190925
100,MAT000432,VERP,N,FOLIE,ST,0.983,KG,20190315
100,MAT000433,FERT,N,KOEKROL,ST,1.774,KG,20220419
100,MAT000434,VERP,N,DOOS,ST,2.483,KG,20190409
100,MAT000435,VERP,N,DOOS,ST,5.0,KG,20181114
100,MAT000436,ROH,N,CHOCOLA,KG,0.478,KG,20220926
100,MAT000437,ROH,N,KANEEL,KG,3.962,KG,20201105
100,MAT000438,ROH,N,MEEL,KG,3.877,KG,20220907
100,MAT000439,VERP,N,ETIKET,ST,3.719,KG,20201214
100,MAT000440,FERT,N,SPECULAAS,ST,0.285,KG,20191121
100,MAT000441,ROH,N,MEEL,KG,4.394,KG,20210619
100,MAT000442,ROH,N,SUIKER,KG,0.742,KG,20200211
100,MAT000443,VERP,N,PALLET,ST,0.856,KG,20190106
100,MAT000444,VERP,N,FOLIE,ST,4.174,KG,20220429
100,MAT000445,ROH,N,BOTER,KG,3.161,KG,20181206
100,MAT000446,VERP,N,ETIKET,ST,3.634,KG,20180331
100,MAT000447,VERP,N,PALLET,ST,2.113,KG,20211017
100,MAT000448,ROH,N,EIEREN,KG,3.626,KG,20200628
100,MAT000449,VERP,N,ETIKET,ST,3.092,KG,20220321
100,MAT000450,ROH,N,VANILLE,KG,3.768,KG,20200708
100,MAT000451,FERT,N,BISCUIT,ST,1.247,KG,20190505
100,MAT000452,ROH,N,EIEREN,KG,1.616,KG,20220715
100,MAT000453,FERT,N,SPECULAAS,ST,3.943,KG,20220907
100,MAT000454,VERP,N,PALLET,ST,1.051,KG,20211021
100,MAT000455,ROH,N,MEEL,KG,4.741,KG,20200621
100,MAT000456,ROH,N,VANILLE,KG,2.362,KG,20190801
100,MAT000457,ROH,N,BOTER,KG,3.913,KG,20201026
100,MAT000458,ROH,N,BOTER,KG,2.685,KG,20181128
100,MAT000459,ROH,N,VANILLE,KG,4.103,KG,20220629
100,MAT000460,ROH,N,SUIKER,KG,3.063,KG,20221123
100,MAT000461,ROH,N,CHOCOLA,KG,1.325,KG,20210806
100,MAT000462,VERP,N,ETIKET,ST,2.455,KG,20200131
100,MAT000463,VERP,N,DOOS,ST,2.817,KG,20180730
100,MAT000464,VERP,N,FOLIE,ST,3.586,KG,20201122
100,MAT000465,FERT,N,WAFEL,ST,4.271,KG,20190807
100,MAT000466,VERP,N,PALLET,ST,0.511,KG,20181125
100,MAT000467,ROH,N,CHOCOLA,KG,1.437,KG,20201117
100,MAT000468,FERT,N,SPECULAAS,ST,0.822,KG,20200614
100,MAT000469,VERP,N,PALLET,ST,0.549,KG,20190331
100,MAT000470,ROH,N,VANILLE,KG,4.102,KG,20221217
100,MAT000471,FERT,N,BISCUIT,ST,1.813,KG,20180224
100,MAT000472,ROH,N,BOTER,KG,2.133,KG,20200322
100,MAT000473,ROH,N,KANEEL,KG,2.56,KG,20190428
100,MAT000474,FERT,N,KOEKROL,ST,1.992,KG,20180617
100,MAT000475,VERP,N,ETIKET,ST,1.937,KG,20180227
100,MAT000476,ROH,N,CHOCOLA,KG,1.662,KG,20180722
100,MAT000477,VERP,N,ETIKET,ST,4.212,KG,20210824
100,MAT000478,ROH,N,KANEEL,KG,1.743,KG,20181027
100,MAT000479,VERP,N,ETIKET,ST,0.774,KG,20190811
100,MAT000480,ROH,N,KANEEL,KG,4.595,KG,20200825
100,MAT000481,ROH,N,SUIKER,KG,3.511,KG,20181012
100,MAT000482,ROH,N,SUIKER,KG,3.818,KG,20200818
100,MAT000483,FERT,N,BISCUIT,ST,2.298,KG,20180111
100,MAT000484,VERP,N,FOLIE,ST,4.539,KG,20180208
100,MAT000485,ROH,N,MEEL,KG,1.354,KG,20220907
100,MAT000486,VERP,N,FOLIE,ST,0.833,KG,20220129
100,MAT000487,FERT,N,WAFEL,ST,3.084,KG,20200516
100,MAT000488,VERP,N,PALLET,ST,0.645,KG,20190814
100,MAT000489,ROH,N,KANEEL,KG,1.264,KG,20180907
100,MAT000490,VERP,N,ETIKET,ST,0.334,KG,20200509
100,MAT000491,FERT,N,WAFEL,ST,3.231,KG,20210629
100,MAT000492,ROH,N,BOTER,KG,2.34,KG,20180816
100,MAT000493,ROH,N,BOTER,KG,4.2,KG,20201020
100,MAT000494,ROH,N,MEEL,KG,3.024,KG,20180203
100,MAT000495,VERP,N,FOLIE,ST,3.197,KG,20210323
100,MAT000496,ROH,N,MEEL,KG,1.285,KG,20181022
100,MAT000497,FERT,N,STROOPWFL,ST,1.527,KG,20180104
100,MAT000498,ROH,N,KANEEL,KG,3.113,KG,20190508
100,MAT000499,FERT,N,SPECULAAS,ST,2.896,KG,20190119
100,MAT000500,FERT,N,BISCUIT,ST,3.355,KG,20180625
