MANDT,MATNR,WERKS,LGORT,LABST,INSME,SPEME
100,000000000000100638,0009,0003,2653,196,0
100,000000000000100639,0010,0001,932,175,42
100,000000000000100640,0001,0002,2796,101,92
100,000000000000100641,0002,0003,4660,157,3
100,000000000000100642,0003,0001,1438,49,42
100,000000000000100643,0004,0002,2768,172,61
100,000000000000100644,0005,0003,3887,9,82
100,000000000000100645,0006,0001,1112,123,19
100,000000000000100646,0007,0002,3773,137,42
100,000000000000100647,0008,0003,3788,200,52
100,000000000000100648,0009,0001,458,133,38
100,000000000000100649,0010,0002,4628,185,86
100,000000000000100650,0001,0003,2584,142,68
100,000000000000100651,0002,0001,153,53,73
100,000000000000100652,0003,0002,2717,90,8
100,000000000000100653,0004,0003,1223,71,3
100,000000000000100654,0005,0001,2778,96,80
100,000000000000100655,0006,0002,4376,42,73
100,000000000000100656,0007,0003,4961,99,23
100,000000000000100657,0008,0001,4875,29,100
100,000000000000100658,0009,0002,2525,180,40
100,000000000000100659,0010,0003,259,69,52
100,000000000000100660,0001,0001,711,127,30
100,000000000000100661,0002,0002,3044,115,38
100,000000000000100662,0003,0003,1770,134,38
100,000000000000100663,0004,0001,1433,28,47
100,000000000000100664,0005,0002,306,199,25
100,000000000000100665,0006,0003,758,113,64
100,000000000000100666,0007,0001,204,123,64
100,000000000000100667,0008,0002,1262,48,43
100,000000000000100668,0009,0003,3960,187,67
100,000000000000100669,0010,0001,2542,198,41
100,000000000000100670,0001,0002,1173,196,12
100,000000000000100671,0002,0003,4228,173,16
100,000000000000100672,0003,0001,1680,185,4
100,000000000000100673,0004,0002,3763,99,91
100,000000000000100674,0005,0003,4279,29,0
100,000000000000100675,0006,0001,2547,11,87
100,000000000000100676,0007,0002,4868,22,42
100,000000000000100677,0008,0003,3824,11,13
100,000000000000100678,0009,0001,4264,196,84
100,000000000000100679,0010,0002,2559,5,73
100,000000000000100680,0001,0003,2557,163,26
100,000000000000100681,0002,0001,2628,51,24
100,000000000000100682,0003,0002,2347,70,68
100,000000000000100683,0004,0003,2614,197,56
100,000000000000100684,0005,0001,963,69,19
100,000000000000100685,0006,0002,1290,70,14
100,000000000000100686,0007,0003,124,159,71
100,000000000000100687,0008,0001,4211,26,26
100,000000000000100688,0009,0002,4444,89,70
100,000000000000100689,0010,0003,2609,69,18
100,000000000000100690,0001,0001,2320,146,31
100,000000000000100691,0002,0002,1403,18,39
100,000000000000100692,0003,0003,2774,138,56
100,000000000000100693,0004,0001,415,33,3
100,000000000000100694,0005,0002,3856,172,6
100,000000000000100695,0006,0003,867,98,6
100,000000000000100696,0007,0001,705,109,50
100,000000000000100697,0008,0002,1466,180,76
100,000000000000100698,0009,0003,4855,161,88
100,000000000000100699,0010,0001,3652,157,45
100,000000000000100700,0001,0002,2559,85,25
100,000000000000100701,0002,0003,4370,20,96
100,000000000000100702,0003,0001,3814,145,16
100,000000000000100703,0004,0002,761,178,59
100,000000000000100704,0005,0003,796,116,39
100,000000000000100705,0006,0001,3812,120,29
100,000000000000100706,0007,0002,1833,36,78
100,000000000000100707,0008,0003,2113,93,50
100,000000000000100708,0009,0001,1502,179,85
100,000000000000100709,0010,0002,2706,83,58
100,000000000000100710,0001,0003,3993,7,8
100,000000000000100711,0002,0001,3893,28,44
100,000000000000100712,0003,0002,3921,118,21
100,000000000000100713,0004,0003,2312,196,44
100,000000000000100714,0005,0001,4951,147,16
100,000000000000100715,0006,0002,4161,26,51
100,000000000000100716,0007,0003,876,83,71
100,000000000000100717,0008,0001,581,77,68
100,000000000000100718,0009,0002,3776,102,75
100,000000000000100719,0010,0003,3386,61,79
100,000000000000100720,0001,0001,1996,140,20
100,000000000000100721,0002,0002,3951,98,8
100,000000000000100722,0003,0003,2791,53,88
100,000000000000100723,0004,0001,4841,110,100
100,000000000000100724,0005,0002,3566,145,100
100,000000000000100725,0006,0003,2803,139,88
100,000000000000100726,0007,0001,1934,44,84
100,000000000000100727,0008,0002,638,189,91
100,000000000000100728,0009,0003,4703,124,14
100,000000000000100729,0010,0001,4851,152,59
100,000000000000100730,0001,0002,2665,142,12
100,000000000000100731,0002,0003,3647,45,39
100,000000000000100732,0003,0001,3324,17,76
100,000000000000100733,0004,0002,890,175,76
100,000000000000100734,0005,0003,3104,83,63
100,000000000000100735,0006,0001,503,23,27
100,000000000000100736,0007,0002,1138,148,96
100,000000000000100737,0008,0003,1,193,18
100,000000000000100738,0009,0001,1222,115,68
100,000000000000100739,0010,0002,2387,99,78
100,000000000000100740,0001,0003,4734,114,25
100,000000000000100741,0002,0001,1684,174,40
100,000000000000100742,0003,0002,2455,145,86
100,000000000000100743,0004,0003,2494,111,91
100,000000000000100744,0005,0001,2820,22,74
100,000000000000100745,0006,0002,66,156,65
100,000000000000100746,0007,0003,3311,32,37
100,000000000000100747,0008,0001,511,94,70
100,000000000000100748,0009,0002,435,0,90
100,000000000000100749,0010,0003,4587,91,14
100,000000000000100750,0001,0001,2311,7,30
100,000000000000100751,0002,0002,3536,179,75
100,000000000000100752,0003,0003,3229,160,40
100,000000000000100753,0004,0001,3135,103,48
100,000000000000100754,0005,0002,3565,139,27
100,000000000000100755,0006,0003,1420,121,17
100,000000000000100756,0007,0001,1541,142,49
100,000000000000100757,0008,0002,2951,106,19
100,000000000000100758,0009,0003,2363,171,16
100,000000000000100759,0010,0001,1100,2,9
100,000000000000100760,0001,0002,128,36,92
100,000000000000100761,0002,0003,3987,168,55
100,000000000000100762,0003,0001,1112,21,17
100,000000000000100763,0004,0002,3406,116,100
100,000000000000100764,0005,0003,4951,108,79
100,000000000000100765,0006,0001,1472,116,65
100,000000000000100766,0007,0002,3474,141,57
100,000000000000100767,0008,0003,3151,90,28
100,000000000000100768,0009,0001,1522,108,77
100,000000000000100769,0010,0002,60,147,63
100,000000000000100770,0001,0003,1939,182,64
100,000000000000100771,0002,0001,2205,105,69
100,000000000000100772,0003,0002,4721,93,4
100,000000000000100773,0004,0003,310,145,61
100,000000000000100774,0005,0001,3019,28,74
100,000000000000100775,0006,0002,3944,176,10
100,000000000000100776,0007,0003,1163,186,93
100,000000000000100777,0008,0001,4312,192,99
100,000000000000100778,0009,0002,2289,119,66
100,000000000000100779,0010,0003,640,133,78
100,000000000000100780,0001,0001,724,62,60
100,000000000000100781,0002,0002,639,175,81
100,000000000000100782,0003,0003,4417,148,39
100,000000000000100783,0004,0001,432,87,68
100,000000000000100784,0005,0002,88,120,58
100,000000000000100785,0006,0003,4199,120,73
100,000000000000100786,0007,0001,2715,107,45
100,000000000000100787,0008,0002,2413,74,21
100,000000000000100788,0009,0003,289,177,76
100,000000000000100789,0010,0001,2490,186,100
100,000000000000100790,0001,0002,4617,66,7
100,000000000000100791,0002,0003,3876,148,21
100,000000000000100792,0003,0001,4692,13,84
100,000000000000100793,0004,0002,2390,188,79
100,000000000000100794,0005,0003,223,73,62
100,000000000000100795,0006,0001,675,32,64
100,000000000000100796,0007,0002,629,200,35
100,000000000000100797,0008,0003,2064,33,78
100,000000000000100798,0009,0001,2301,70,32
100,000000000000100799,0010,0002,116,189,14
100,000000000000100800,0001,0003,4946,44,75
100,000000000000100801,0002,0001,1238,168,57
100,000000000000100802,0003,0002,3029,44,33
100,000000000000100803,0004,0003,1934,124,23
100,000000000000100804,0005,0001,4320,8,43
100,000000000000100805,0006,0002,691,37,76
100,000000000000100806,0007,0003,1262,126,96
100,000000000000100807,0008,0001,3382,197,49
100,000000000000100808,0009,0002,1949,169,56
100,000000000000100809,0010,0003,1370,53,73
100,000000000000100810,0001,0001,2826,13,82
100,000000000000100811,0002,0002,2165,193,14
100,000000000000100812,0003,0003,430,42,59
100,000000000000100813,0004,0001,3266,121,38
100,000000000000100814,0005,0002,3901,191,96
100,000000000000100815,0006,0003,4362,59,48
100,000000000000100816,0007,0001,3195,121,33
100,000000000000100817,0008,0002,1189,135,55
100,000000000000100818,0009,0003,97,73,57
100,000000000000100819,0010,0001,3129,173,40
100,000000000000100820,0001,0002,4343,174,5
100,000000000000100821,0002,0003,797,136,81
100,000000000000100822,0003,0001,2898,110,78
100,000000000000100823,0004,0002,2233,85,34
100,000000000000100824,0005,0003,2187,25,32
100,000000000000100825,0006,0001,4785,100,59
100,000000000000100826,0007,0002,1980,187,86
100,000000000000100827,0008,0003,4822,197,24
100,000000000000100828,0009,0001,4259,86,86
100,000000000000100829,0010,0002,1473,80,70
100,000000000000100830,0001,0003,86,172,1
100,000000000000100831,0002,0001,556,3,52
100,000000000000100832,0003,0002,800,134,13
100,000000000000100833,0004,0003,3653,89,28
100,000000000000100834,0005,0001,2320,64,24
100,000000000000100835,0006,0002,278,6,79
100,000000000000100836,0007,0003,753,14,76
100,000000000000100837,0008,0001,1776,153,81
100,000000000000100838,0009,0002,997,181,15
100,000000000000100839,0010,0003,707,154,16
100,000000000000100840,0001,0001,3079,168,97
100,000000000000100841,0002,0002,4637,47,14
100,000000000000100842,0003,0003,1509,64,37
100,000000000000100843,0004,0001,3825,169,9
100,000000000000100844,0005,0002,3714,70,98
100,000000000000100845,0006,0003,3497,177,85
100,000000000000100846,0007,0001,2649,65,20
100,000000000000100847,0008,0002,606,70,99
100,000000000000100848,0009,0003,511,97,49
100,000000000000100849,0010,0001,2725,15,33
100,000000000000100850,0001,0002,2168,45,56
100,000000000000100851,0002,0003,568,125,25
100,000000000000100852,0003,0001,4999,100,22
100,000000000000100853,0004,0002,4030,27,18
100,000000000000100854,0005,0003,4428,196,55
100,000000000000100855,0006,0001,1789,157,82
100,000000000000100856,0007,0002,870,113,91
100,000000000000100857,0008,0003,2121,26,4
100,000000000000100858,0009,0001,597,18,73
100,000000000000100859,0010,0002,2052,198,57
100,000000000000100860,0001,0003,153,127,19
100,000000000000100861,0002,0001,7,9,85
100,000000000000100862,0003,0002,3198,68,19
100,000000000000100863,0004,0003,2701,100,73
100,000000000000100864,0005,0001,30,131,90
100,000000000000100865,0006,0002,4019,122,55
100,000000000000100866,0007,0003,3308,186,99
100,000000000000100867,0008,0001,574,138,28
100,000000000000100868,0009,0002,27,98,88
100,000000000000100869,0010,0003,3949,31,72
100,000000000000100870,0001,0001,4385,91,42
100,000000000000100871,0002,0002,2480,102,7
100,000000000000100872,0003,0003,742,93,68
100,000000000000100873,0004,0001,2785,20,58
100,000000000000100874,0005,0002,2375,165,25
100,000000000000100875,0006,0003,1446,141,5
100,000000000000100876,0007,0001,3147,169,24
100,000000000000100877,0008,0002,2448,178,49
100,000000000000100878,0009,0003,874,161,88
100,000000000000100879,0010,0001,2943,124,10
100,000000000000100880,0001,0002,3587,188,24
100,000000000000100881,0002,0003,1146,9,24
100,000000000000100882,0003,0001,207,184,75
100,000000000000100883,0004,0002,1953,125,49
100,000000000000100884,0005,0003,516,138,82
100,000000000000100885,0006,0001,2520,127,68
100,000000000000100886,0007,0002,3680,4,4
100,000000000000100887,0008,0003,2779,14,43
100,000000000000100888,0009,0001,350,103,15
100,000000000000100889,0010,0002,1734,167,85
100,000000000000100890,0001,0003,4285,117,86
100,000000000000100891,0002,0001,4395,38,94
100,000000000000100892,0003,0002,4746,59,9
100,000000000000100893,0004,0003,302,188,18
100,000000000000100894,0005,0001,4005,167,2
100,000000000000100895,0006,0002,3860,158,5
100,000000000000100896,0007,0003,1988,179,83
100,000000000000100897,0008,0001,1069,3,22
100,000000000000100898,0009,0002,409,78,12
100,000000000000100899,0010,0003,3737,156,21
100,000000000000100900,0001,0001,4841,16,13
100,000000000000100901,0002,0002,935,127,76
100,000000000000100902,0003,0003,1806,16,25
100,000000000000100903,0004,0001,3491,86,94
100,000000000000100904,0005,0002,3293,83,15
100,000000000000100905,0006,0003,4718,139,17
100,000000000000100906,0007,0001,2634,54,97
100,000000000000100907,0008,0002,373,151,22
100,000000000000100908,0009,0003,2748,16,15
100,000000000000100909,0010,0001,2243,36,96
100,000000000000100910,0001,0002,3400,43,89
100,000000000000100911,0002,0003,3030,141,21
100,000000000000100912,0003,0001,3593,62,74
100,000000000000100913,0004,0002,333,34,12
100,000000000000100914,0005,0003,3081,199,20
100,000000000000100915,0006,0001,128,124,10
100,000000000000100916,0007,0002,52,1,22
100,000000000000100917,0008,0003,730,180,83
100,000000000000100918,0009,0001,4863,72,53
100,000000000000100919,0010,0002,3899,177,16
100,000000000000100920,0001,0003,1688,36,81
100,000000000000100921,0002,0001,2219,133,57
100,000000000000100922,0003,0002,3375,61,22
100,000000000000100923,0004,0003,308,152,23
100,000000000000100924,0005,0001,4095,156,11
100,000000000000100925,0006,0002,2467,89,53
100,000000000000100926,0007,0003,37,142,30
100,000000000000100927,0008,0001,1572,30,67
100,000000000000100928,0009,0002,783,158,46
100,000000000000100929,0010,0003,4421,129,28
100,000000000000100930,0001,0001,3802,197,80
100,000000000000100931,0002,0002,1704,70,6
100,000000000000100932,0003,0003,1586,28,19
100,000000000000100933,0004,0001,3886,127,22
100,000000000000100934,0005,0002,1308,171,5
100,000000000000100935,0006,0003,442,165,46
100,000000000000100936,0007,0001,2335,53,55
100,000000000000100937,0008,0002,2059,85,78
100,000000000000100938,0009,0003,3712,11,13
100,000000000000100939,0010,0001,429,137,22
100,000000000000100940,0001,0002,1294,7,62
100,000000000000100941,0002,0003,4218,29,9
100,000000000000100942,0003,0001,1927,184,56
100,000000000000100943,0004,0002,4855,148,41
100,000000000000100944,0005,0003,3432,50,95
100,000000000000100945,0006,0001,2668,58,99
100,000000000000100946,0007,0002,902,83,29
100,000000000000100947,0008,0003,803,60,94
100,000000000000100948,0009,0001,3379,51,48
100,000000000000100949,0010,0002,1807,18,60
100,000000000000100950,0001,0003,4793,124,6
100,000000000000100951,0002,0001,3570,37,27
100,000000000000100952,0003,0002,4992,116,22
100,000000000000100953,0004,0003,3173,95,17
100,000000000000100954,0005,0001,3749,184,24
100,000000000000100955,0006,0002,2937,69,25
100,000000000000100956,0007,0003,2751,32,4
100,000000000000100957,0008,0001,4658,15,35
100,000000000000100958,0009,0002,1118,28,59
100,000000000000100959,0010,0003,3756,107,21
100,000000000000100960,0001,0001,2814,56,37
100,000000000000100961,0002,0002,4944,40,81
100,000000000000100962,0003,0003,1392,147,70
100,000000000000100963,0004,0001,1881,22,52
100,000000000000100964,0005,0002,4274,125,27
100,000000000000100965,0006,0003,4846,121,59
100,000000000000100966,0007,0001,2286,3,93
100,000000000000100967,0008,0002,3507,188,31
100,000000000000100968,0009,0003,2030,83,55
100,000000000000100969,0010,0001,4746,56,75
100,000000000000100970,0001,0002,1220,146,0
100,000000000000100971,0002,0003,3422,11,5
100,000000000000100972,0003,0001,3855,187,98
100,000000000000100973,0004,0002,4130,8,54
100,000000000000100974,0005,0003,4350,100,61
100,000000000000100975,0006,0001,802,115,63
100,000000000000100976,0007,0002,1970,21,71
100,000000000000100977,0008,0003,101,177,93
100,000000000000100978,0009,0001,3331,55,16
100,000000000000100979,0010,0002,2936,75,30
100,000000000000100980,0001,0003,743,4,61
100,000000000000100981,0002,0001,2497,41,90
100,000000000000100982,0003,0002,3762,146,95
100,000000000000100983,0004,0003,4781,6,58
100,000000000000100984,0005,0001,3799,197,17
100,000000000000100985,0006,0002,3320,47,47
100,000000000000100986,0007,0003,3803,180,81
100,000000000000100987,0008,0001,11,160,9
100,000000000000100988,0009,0002,3152,176,42
100,000000000000100989,0010,0003,4349,8,37
100,000000000000100990,0001,0001,3488,192,34
100,000000000000100991,0002,0002,4443,147,26
100,000000000000100992,0003,0003,663,158,42
100,000000000000100993,0004,0001,449,131,86
100,000000000000100994,0005,0002,2981,13,14
100,000000000000100995,0006,0003,3137,93,59
100,000000000000100996,0007,0001,334,93,46
100,000000000000100997,0008,0002,1435,165,71
100,000000000000100998,0009,0003,548,143,90
100,000000000000100999,0010,0001,1677,35,42
