MANDT,STLTY,STLNR,STLKN,STPOZ,IDNRK,MENGE,MEINS
100,M,BOM000087,0050,0005,MAT000307,315.73,KG
100,M,BOM000087,0060,0006,MAT000227,268.98,KG
100,M,BOM000088,0010,0001,MAT000284,358.6,KG
100,M,BOM000088,0020,0002,MAT000269,262.23,KG
100,M,BOM000088,0030,0003,MAT000030,127.58,KG
100,M,BOM000088,0040,0004,MAT000472,167.28,KG
100,M,BOM000088,0050,0005,MAT000115,293.27,KG
100,M,BOM000089,0010,0001,MAT000121,22.78,KG
100,M,BOM000089,0020,0002,MAT000384,17.89,KG
100,M,BOM000089,0030,0003,MAT000373,222.41,KG
100,M,BOM000090,0010,0001,MAT000051,130.94,KG
100,M,BOM000090,0020,0002,MAT000334,100.21,KG
100,M,BOM000090,0030,0003,MAT000448,67.76,KG
100,M,BOM000090,0040,0004,MAT000366,125.96,KG
100,M,BOM000090,0050,0005,MAT000480,107.3,KG
100,M,BOM000090,0060,0006,MAT000461,111.42,KG
100,M,BOM000091,0010,0001,MAT000116,178.51,KG
100,M,BOM000091,0020,0002,MAT000437,34.52,KG
100,M,BOM000091,0030,0003,MAT000105,176.87,KG
100,M,BOM000091,0040,0004,MAT000410,216.16,KG
100,M,BOM000092,0010,0001,MAT000407,30.28,KG
100,M,BOM000092,0020,0002,MAT000040,20.73,KG
100,M,BOM000092,0030,0003,MAT000136,6.48,KG
100,M,BOM000092,0040,0004,MAT000461,28.8,KG
100,M,BOM000092,0050,0005,MAT000334,2.49,KG
100,M,BOM000092,0060,0006,MAT000098,8.09,KG
100,M,BOM000093,0010,0001,MAT000286,37.68,KG
100,M,BOM000093,0020,0002,MAT000277,148.43,KG
100,M,BOM000093,0030,0003,MAT000410,14.54,KG
100,M,BOM000093,0040,0004,MAT000039,223.83,KG
100,M,BOM000093,0050,0005,MAT000116,222.54,KG
100,M,BOM000094,0010,0001,MAT000420,24.32,KG
100,M,BOM000094,0020,0002,MAT000032,15.83,KG
100,M,BOM000094,0030,0003,MAT000099,22.89,KG
100,M,BOM000094,0040,0004,MAT000458,17.22,KG
100,M,BOM000094,0050,0005,MAT000321,19.18,KG
100,M,BOM000094,0060,0006,MAT000049,41.81,KG
100,M,BOM000094,0070,0007,MAT000043,41.77,KG
100,M,BOM000094,0080,0008,MAT000380,7.07,KG
100,M,BOM000095,0010,0001,MAT000398,33.39,KG
100,M,BOM000095,0020,0002,MAT000394,20.78,KG
100,M,BOM000095,0030,0003,MAT000030,12.02,KG
100,M,BOM000095,0040,0004,MAT000393,20.07,KG
100,M,BOM000095,0050,0005,MAT000123,27.28,KG
100,M,BOM000095,0060,0006,MAT000298,47.92,KG
100,M,BOM000095,0070,0007,MAT000079,44.56,KG
100,M,BOM000095,0080,0008,MAT000498,36.93,KG
100,M,BOM000096,0010,0001,MAT000038,282.72,KG
100,M,BOM000096,0020,0002,MAT000472,66.27,KG
100,M,BOM000096,0030,0003,MAT000021,281.88,KG
100,M,BOM000096,0040,0004,MAT000291,100.25,KG
100,M,BOM000097,0010,0001,MAT000445,468.41,KG
100,M,BOM000097,0020,0002,MAT000182,93.97,KG
100,M,BOM000097,0030,0003,MAT000407,14.39,KG
100,M,BOM000097,0040,0004,MAT000436,394.44,KG
100,M,BOM000097,0050,0005,MAT000036,126.42,KG
100,M,BOM000097,0060,0006,MAT000098,354.28,KG
100,M,BOM000097,0070,0007,MAT000028,444.39,KG
100,M,BOM000098,0010,0001,MAT000492,86.64,KG
100,M,BOM000098,0020,0002,MAT000296,47.18,KG
100,M,BOM000098,0030,0003,MAT000362,8.45,KG
100,M,BOM000098,0040,0004,MAT000480,133.16,KG
100,M,BOM000098,0050,0005,MAT000043,97.05,KG
100,M,BOM000098,0060,0006,MAT000420,25.03,KG
100,M,BOM000098,0070,0007,MAT000037,245.0,KG
100,M,BOM000099,0010,0001,MAT000116,156.86,KG
100,M,BOM000099,0020,0002,MAT000164,206.6,KG
100,M,BOM000099,0030,0003,MAT000240,88.75,KG
100,M,BOM000099,0040,0004,MAT000079,309.17,KG
100,M,BOM000099,0050,0005,MAT000128,166.02,KG
100,M,BOM000100,0010,0001,MAT000351,44.7,KG
100,M,BOM000100,0020,0002,MAT000085,13.27,KG
100,M,BOM000100,0030,0003,MAT000295,47.11,KG
100,M,BOM000100,0040,0004,MAT000116,45.03,KG
100,M,BOM000100,0050,0005,MAT000373,3.07,KG
100,M,BOM000101,0010,0001,MAT000438,16.26,KG
100,M,BOM000101,0020,0002,MAT000437,27.88,KG
100,M,BOM000101,0030,0003,MAT000348,3.74,KG
100,M,BOM000101,0040,0004,MAT000097,1.93,KG
100,M,BOM000101,0050,0005,MAT000244,31.86,KG
100,M,BOM000101,0060,0006,MAT000047,45.73,KG
100,M,BOM000102,0010,0001,MAT000480,28.63,KG
100,M,BOM000102,0020,0002,MAT000085,22.58,KG
100,M,BOM000102,0030,0003,MAT000234,42.39,KG
100,M,BOM000102,0040,0004,MAT000460,25.27,KG
100,M,BOM000102,0050,0005,MAT000026,39.25,KG
100,M,BOM000102,0060,0006,MAT000105,7.55,KG
100,M,BOM000102,0070,0007,MAT000286,27.25,KG
100,M,BOM000103,0010,0001,MAT000384,14.82,KG
100,M,BOM000103,0020,0002,MAT000460,48.62,KG
100,M,BOM000103,0030,0003,MAT000394,0.53,KG
100,M,BOM000103,0040,0004,MAT000042,46.71,KG
100,M,BOM000103,0050,0005,MAT000032,24.37,KG
100,M,BOM000103,0060,0006,MAT000400,30.09,KG
100,M,BOM000103,0070,0007,MAT000496,42.05,KG
100,M,BOM000104,0010,0001,MAT000204,19.81,KG
100,M,BOM000104,0020,0002,MAT000478,24.7,KG
100,M,BOM000104,0030,0003,MAT000438,175.36,KG
100,M,BOM000104,0040,0004,MAT000269,208.05,KG
100,M,BOM000104,0050,0005,MAT000043,181.96,KG
100,M,BOM000104,0060,0006,MAT000137,249.71,KG
100,M,BOM000104,0070,0007,MAT000452,219.87,KG
100,M,BOM000104,0080,0008,MAT000467,54.69,KG
100,M,BOM000105,0010,0001,MAT000309,174.11,KG
100,M,BOM000105,0020,0002,MAT000022,232.6,KG
100,M,BOM000105,0030,0003,MAT000241,301.76,KG
100,M,BOM000105,0040,0004,MAT000394,12.86,KG
100,M,BOM000105,0050,0005,MAT000252,347.46,KG
100,M,BOM000105,0060,0006,MAT000232,324.99,KG
100,M,BOM000105,0070,0007,MAT000029,6.01,KG
100,M,BOM000105,0080,0008,MAT000296,240.88,KG
100,M,BOM000106,0010,0001,MAT000460,32.74,KG
100,M,BOM000106,0020,0002,MAT000420,27.16,KG
100,M,BOM000106,0030,0003,MAT000359,44.68,KG
100,M,BOM000106,0040,0004,MAT000455,40.89,KG
100,M,BOM000106,0050,0005,MAT000052,22.54,KG
100,M,BOM000106,0060,0006,MAT000026,6.61,KG
100,M,BOM000107,0010,0001,MAT000162,112.53,KG
100,M,BOM000107,0020,0002,MAT000034,57.33,KG
100,M,BOM000107,0030,0003,MAT000099,7.4,KG
100,M,BOM000107,0040,0004,MAT000400,72.08,KG
100,M,BOM000107,0050,0005,MAT000334,230.55,KG
100,M,BOM000107,0060,0006,MAT000185,91.06,KG
100,M,BOM000108,0010,0001,MAT000208,0.85,KG
100,M,BOM000108,0020,0002,MAT000223,49.22,KG
100,M,BOM000108,0030,0003,MAT000424,32.1,KG
100,M,BOM000108,0040,0004,MAT000331,5.99,KG
100,M,BOM000108,0050,0005,MAT000041,14.23,KG
100,M,BOM000108,0060,0006,MAT000260,25.27,KG
100,M,BOM000108,0070,0007,MAT000492,8.94,KG
100,M,BOM000108,0080,0008,MAT000203,10.09,KG
100,M,BOM000109,0010,0001,MAT000480,68.08,KG
100,M,BOM000109,0020,0002,MAT000105,467.11,KG
100,M,BOM000109,0030,0003,MAT000048,428.46,KG
100,M,BOM000110,0010,0001,MAT000037,341.94,KG
100,M,BOM000110,0020,0002,MAT000452,442.14,KG
100,M,BOM000110,0030,0003,MAT000494,5.97,KG
100,M,BOM000110,0040,0004,MAT000236,216.42,KG
100,M,BOM000111,0010,0001,MAT000388,235.96,KG
100,M,BOM000111,0020,0002,MAT000370,183.93,KG
100,M,BOM000111,0030,0003,MAT000257,380.72,KG
100,M,BOM000111,0040,0004,MAT000099,442.48,KG
100,M,BOM000111,0050,0005,MAT000442,116.15,KG
100,M,BOM000112,0010,0001,MAT000393,220.32,KG
100,M,BOM000112,0020,0002,MAT000292,202.4,KG
100,M,BOM000112,0030,0003,MAT000033,247.59,KG
100,M,BOM000112,0040,0004,MAT000359,58.34,KG
100,M,BOM000112,0050,0005,MAT000185,173.16,KG
100,M,BOM000112,0060,0006,MAT000306,239.55,KG
100,M,BOM000112,0070,0007,MAT000052,229.46,KG
100,M,BOM000113,0010,0001,MAT000291,24.26,KG
100,M,BOM000113,0020,0002,MAT000048,40.5,KG
100,M,BOM000113,0030,0003,MAT000020,29.83,KG
100,M,BOM000113,0040,0004,MAT000084,31.5,KG
100,M,BOM000113,0050,0005,MAT000039,17.05,KG
100,M,BOM000114,0010,0001,MAT000407,208.55,KG
100,M,BOM000114,0020,0002,MAT000229,205.85,KG
100,M,BOM000114,0030,0003,MAT000309,131.12,KG
100,M,BOM000115,0010,0001,MAT000496,4.73,KG
100,M,BOM000115,0020,0002,MAT000390,3.5,KG
100,M,BOM000115,0030,0003,MAT000084,2.15,KG
100,M,BOM000115,0040,0004,MAT000020,16.01,KG
100,M,BOM000115,0050,0005,MAT000393,42.46,KG
100,M,BOM000115,0060,0006,MAT000476,3.72,KG
100,M,BOM000115,0070,0007,MAT000099,6.81,KG
100,M,BOM000116,0010,0001,MAT000493,170.2,KG
100,M,BOM000116,0020,0002,MAT000020,140.92,KG
100,M,BOM000116,0030,0003,MAT000388,75.49,KG
100,M,BOM000116,0040,0004,MAT000048,96.91,KG
100,M,BOM000116,0050,0005,MAT000088,26.22,KG
100,M,BOM000117,0010,0001,MAT000028,220.28,KG
100,M,BOM000117,0020,0002,MAT000498,155.76,KG
100,M,BOM000117,0030,0003,MAT000034,86.56,KG
100,M,BOM000117,0040,0004,MAT000395,234.55,KG
100,M,BOM000117,0050,0005,MAT000348,196.27,KG
100,M,BOM000117,0060,0006,MAT000400,114.88,KG
100,M,BOM000117,0070,0007,MAT000387,83.73,KG
100,M,BOM000118,0010,0001,MAT000035,29.85,KG
100,M,BOM000118,0020,0002,MAT000482,42.12,KG
100,M,BOM000118,0030,0003,MAT000049,45.27,KG
100,M,BOM000119,0010,0001,MAT000328,9.7,KG
100,M,BOM000119,0020,0002,MAT000382,7.31,KG
100,M,BOM000119,0030,0003,MAT000409,2.68,KG
100,M,BOM000119,0040,0004,MAT000496,6.82,KG
100,M,BOM000119,0050,0005,MAT000392,29.43,KG
100,M,BOM000120,0010,0001,MAT000478,303.65,KG
100,M,BOM000120,0020,0002,MAT000456,149.08,KG
100,M,BOM000120,0030,0003,MAT000121,485.28,KG
100,M,BOM000120,0040,0004,MAT000406,261.25,KG
100,M,BOM000120,0050,0005,MAT000291,330.55,KG
100,M,BOM000121,0010,0001,MAT000437,17.52,KG
100,M,BOM000121,0020,0002,MAT000461,48.84,KG
100,M,BOM000121,0030,0003,MAT000045,32.21,KG
100,M,BOM000121,0040,0004,MAT000384,10.46,KG
100,M,BOM000122,0010,0001,MAT000030,34.77,KG
100,M,BOM000122,0020,0002,MAT000407,42.67,KG
100,M,BOM000122,0030,0003,MAT000405,28.52,KG
100,M,BOM000122,0040,0004,MAT000485,17.12,KG
100,M,BOM000123,0010,0001,MAT000137,56.8,KG
100,M,BOM000123,0020,0002,MAT000088,3.42,KG
100,M,BOM000123,0030,0003,MAT000395,57.7,KG
100,M,BOM000123,0040,0004,MAT000042,59.49,KG
100,M,BOM000123,0050,0005,MAT000424,156.92,KG
100,M,BOM000124,0010,0001,MAT000302,4.15,KG
100,M,BOM000124,0020,0002,MAT000339,1.99,KG
100,M,BOM000124,0030,0003,MAT000202,6.2,KG
100,M,BOM000124,0040,0004,MAT000362,14.88,KG
100,M,BOM000124,0050,0005,MAT000165,10.12,KG
100,M,BOM000124,0060,0006,MAT000033,29.49,KG
100,M,BOM000124,0070,0007,MAT000331,38.39,KG
100,M,BOM000124,0080,0008,MAT000034,2.67,KG
100,M,BOM000125,0010,0001,MAT000269,36.08,KG
100,M,BOM000125,0020,0002,MAT000157,17.32,KG
100,M,BOM000125,0030,0003,MAT000208,27.95,KG
100,M,BOM000125,0040,0004,MAT000243,9.34,KG
100,M,BOM000126,0010,0001,MAT000085,39.48,KG
100,M,BOM000126,0020,0002,MAT000037,5.99,KG
100,M,BOM000126,0030,0003,MAT000115,46.84,KG
100,M,BOM000126,0040,0004,MAT000346,15.6,KG
100,M,BOM000126,0050,0005,MAT000027,12.39,KG
100,M,BOM000127,0010,0001,MAT000498,49.94,KG
100,M,BOM000127,0020,0002,MAT000389,96.1,KG
100,M,BOM000127,0030,0003,MAT000048,95.13,KG
100,M,BOM000127,0040,0004,MAT000098,150.89,KG
100,M,BOM000127,0050,0005,MAT000116,244.3,KG
100,M,BOM000127,0060,0006,MAT000110,63.03,KG
100,M,BOM000127,0070,0007,MAT000182,13.93,KG
100,M,BOM000128,0010,0001,MAT000277,437.06,KG
100,M,BOM000128,0020,0002,MAT000123,426.49,KG
100,M,BOM000128,0030,0003,MAT000298,484.35,KG
100,M,BOM000128,0040,0004,MAT000234,443.49,KG
100,M,BOM000128,0050,0005,MAT000045,108.57,KG
100,M,BOM000128,0060,0006,MAT000021,45.3,KG
100,M,BOM000128,0070,0007,MAT000260,237.98,KG
100,M,BOM000129,0010,0001,MAT000438,251.8,KG
100,M,BOM000129,0020,0002,MAT000351,234.81,KG
100,M,BOM000129,0030,0003,MAT000025,164.3,KG
100,M,BOM000129,0040,0004,MAT000336,190.07,KG
100,M,BOM000130,0010,0001,MAT000424,23.12,KG
100,M,BOM000130,0020,0002,MAT000407,113.67,KG
100,M,BOM000130,0030,0003,MAT000244,105.49,KG
100,M,BOM000130,0040,0004,MAT000476,432.27,KG
100,M,BOM000130,0050,0005,MAT000362,200.97,KG
100,M,BOM000130,0060,0006,MAT000023,156.47,KG
100,M,BOM000130,0070,0007,MAT000478,444.91,KG
100,M,BOM000130,0080,0008,MAT000026,287.83,KG
100,M,BOM000131,0010,0001,MAT000053,147.03,KG
100,M,BOM000131,0020,0002,MAT000114,117.65,KG
100,M,BOM000131,0030,0003,MAT000277,156.23,KG
100,M,BOM000131,0040,0004,MAT000392,107.96,KG
100,M,BOM000131,0050,0005,MAT000442,118.22,KG
100,M,BOM000131,0060,0006,MAT000328,103.72,KG
100,M,BOM000131,0070,0007,MAT000212,201.61,KG
100,M,BOM000132,0010,0001,MAT000038,21.28,KG
100,M,BOM000132,0020,0002,MAT000162,225.62,KG
100,M,BOM000132,0030,0003,MAT000392,75.39,KG
100,M,BOM000132,0040,0004,MAT000223,126.69,KG
100,M,BOM000132,0050,0005,MAT000243,137.8,KG
100,M,BOM000132,0060,0006,MAT000025,21.84,KG
100,M,BOM000133,0010,0001,MAT000098,11.97,KG
100,M,BOM000133,0020,0002,MAT000050,52.08,KG
100,M,BOM000133,0030,0003,MAT000331,51.17,KG
100,M,BOM000134,0010,0001,MAT000257,228.31,KG
100,M,BOM000134,0020,0002,MAT000182,4.61,KG
100,M,BOM000134,0030,0003,MAT000489,76.62,KG
100,M,BOM000134,0040,0004,MAT000115,206.02,KG
100,M,BOM000134,0050,0005,MAT000457,196.32,KG
100,M,BOM000135,0010,0001,MAT000027,58.66,KG
100,M,BOM000135,0020,0002,MAT000035,187.91,KG
100,M,BOM000135,0030,0003,MAT000406,119.92,KG
100,M,BOM000135,0040,0004,MAT000441,130.17,KG
100,M,BOM000135,0050,0005,MAT000123,197.03,KG
100,M,BOM000135,0060,0006,MAT000360,190.01,KG
100,M,BOM000135,0070,0007,MAT000212,181.32,KG
100,M,BOM000136,0010,0001,MAT000292,193.11,KG
100,M,BOM000136,0020,0002,MAT000182,175.24,KG
100,M,BOM000136,0030,0003,MAT000387,54.37,KG
100,M,BOM000137,0010,0001,MAT000115,126.2,KG
100,M,BOM000137,0020,0002,MAT000473,165.56,KG
100,M,BOM000137,0030,0003,MAT000105,90.28,KG
100,M,BOM000137,0040,0004,MAT000288,58.31,KG
100,M,BOM000137,0050,0005,MAT000034,107.87,KG
100,M,BOM000138,0010,0001,MAT000480,40.54,KG
100,M,BOM000138,0020,0002,MAT000037,238.28,KG
100,M,BOM000138,0030,0003,MAT000470,84.24,KG
100,M,BOM000138,0040,0004,MAT000040,158.39,KG
100,M,BOM000138,0050,0005,MAT000115,151.74,KG
100,M,BOM000139,0010,0001,MAT000202,240.01,KG
100,M,BOM000139,0020,0002,MAT000359,167.78,KG
100,M,BOM000139,0030,0003,MAT000048,481.16,KG
100,M,BOM000139,0040,0004,MAT000452,321.31,KG
100,M,BOM000139,0050,0005,MAT000348,155.8,KG
100,M,BOM000139,0060,0006,MAT000182,89.85,KG
100,M,BOM000140,0010,0001,MAT000489,97.41,KG
100,M,BOM000140,0020,0002,MAT000420,39.4,KG
100,M,BOM000140,0030,0003,MAT000038,481.68,KG
100,M,BOM000141,0010,0001,MAT000273,115.03,KG
100,M,BOM000141,0020,0002,MAT000028,93.74,KG
100,M,BOM000141,0030,0003,MAT000448,5.23,KG
100,M,BOM000141,0040,0004,MAT000049,83.38,KG
100,M,BOM000142,0010,0001,MAT000096,120.87,KG
100,M,BOM000142,0020,0002,MAT000110,19.52,KG
100,M,BOM000142,0030,0003,MAT000455,238.89,KG
100,M,BOM000142,0040,0004,MAT000382,216.76,KG
100,M,BOM000143,0010,0001,MAT000388,28.97,KG
100,M,BOM000143,0020,0002,MAT000030,15.86,KG
100,M,BOM000143,0030,0003,MAT000407,10.55,KG
100,M,BOM000143,0040,0004,MAT000136,35.98,KG
100,M,BOM000143,0050,0005,MAT000489,23.22,KG
100,M,BOM000144,0010,0001,MAT000393,40.47,KG
100,M,BOM000144,0020,0002,MAT000048,26.53,KG
100,M,BOM000144,0030,0003,MAT000362,45.56,KG
100,M,BOM000144,0040,0004,MAT000489,44.02,KG
100,M,BOM000145,0010,0001,MAT000042,99.29,KG
100,M,BOM000145,0020,0002,MAT000081,206.3,KG
100,M,BOM000145,0030,0003,MAT000271,212.84,KG
100,M,BOM000145,0040,0004,MAT000025,105.23,KG
100,M,BOM000145,0050,0005,MAT000395,46.95,KG
100,M,BOM000145,0060,0006,MAT000314,155.39,KG
100,M,BOM000145,0070,0007,MAT000284,109.44,KG
100,M,BOM000146,0010,0001,MAT000470,135.59,KG
100,M,BOM000146,0020,0002,MAT000084,167.5,KG
100,M,BOM000146,0030,0003,MAT000359,19.02,KG
100,M,BOM000146,0040,0004,MAT000043,182.32,KG
100,M,BOM000146,0050,0005,MAT000229,225.8,KG
100,M,BOM000146,0060,0006,MAT000136,227.41,KG
100,M,BOM000146,0070,0007,MAT000257,104.29,KG
100,M,BOM000146,0080,0008,MAT000020,191.06,KG
100,M,BOM000147,0010,0001,MAT000088,20.8,KG
100,M,BOM000147,0020,0002,MAT000437,8.66,KG
100,M,BOM000147,0030,0003,MAT000298,10.76,KG
100,M,BOM000148,0010,0001,MAT000050,19.37,KG
100,M,BOM000148,0020,0002,MAT000023,37.42,KG
100,M,BOM000148,0030,0003,MAT000400,42.86,KG
100,M,BOM000149,0010,0001,MAT000236,83.46,KG
100,M,BOM000149,0020,0002,MAT000097,187.8,KG
100,M,BOM000149,0030,0003,MAT000114,122.48,KG
100,M,BOM000150,0010,0001,MAT000028,8.94,KG
100,M,BOM000150,0020,0002,MAT000232,1.39,KG
100,M,BOM000150,0030,0003,MAT000390,5.48,KG
100,M,BOM000150,0040,0004,MAT000115,15.06,KG
100,M,BOM000150,0050,0005,MAT000406,26.97,KG
100,M,BOM000150,0060,0006,MAT000260,19.85,KG
100,M,BOM000150,0070,0007,MAT000137,4.34,KG
100,M,BOM000151,0010,0001,MAT000390,35.86,KG
100,M,BOM000151,0020,0002,MAT000330,44.69,KG
100,M,BOM000151,0030,0003,MAT000162,26.85,KG
100,M,BOM000151,0040,0004,MAT000207,22.38,KG
100,M,BOM000152,0010,0001,MAT000029,0.73,KG
100,M,BOM000152,0020,0002,MAT000028,38.73,KG
100,M,BOM000152,0030,0003,MAT000088,38.47,KG
100,M,BOM000152,0040,0004,MAT000351,46.48,KG
100,M,BOM000152,0050,0005,MAT000288,19.04,KG
100,M,BOM000152,0060,0006,MAT000392,12.31,KG
100,M,BOM000152,0070,0007,MAT000045,5.02,KG
100,M,BOM000152,0080,0008,MAT000485,21.37,KG
100,M,BOM000153,0010,0001,MAT000031,39.95,KG
100,M,BOM000153,0020,0002,MAT000048,41.61,KG
100,M,BOM000153,0030,0003,MAT000208,8.81,KG
100,M,BOM000153,0040,0004,MAT000084,8.77,KG
100,M,BOM000154,0010,0001,MAT000298,157.63,KG
100,M,BOM000154,0020,0002,MAT000296,157.11,KG
100,M,BOM000154,0030,0003,MAT000461,233.75,KG
100,M,BOM000155,0010,0001,MAT000223,90.75,KG
100,M,BOM000155,0020,0002,MAT000204,45.47,KG
100,M,BOM000155,0030,0003,MAT000094,102.03,KG
100,M,BOM000156,0010,0001,MAT000204,163.36,KG
100,M,BOM000156,0020,0002,MAT000398,93.82,KG
100,M,BOM000156,0030,0003,MAT000208,19.16,KG
100,M,BOM000156,0040,0004,MAT000048,56.59,KG
100,M,BOM000156,0050,0005,MAT000028,77.13,KG
100,M,BOM000156,0060,0006,MAT000260,150.72,KG
100,M,BOM000157,0010,0001,MAT000084,34.06,KG
100,M,BOM000157,0020,0002,MAT000485,48.63,KG
100,M,BOM000157,0030,0003,MAT000298,34.84,KG
100,M,BOM000157,0040,0004,MAT000021,16.94,KG
100,M,BOM000157,0050,0005,MAT000351,31.95,KG
100,M,BOM000158,0010,0001,MAT000409,257.96,KG
100,M,BOM000158,0020,0002,MAT000049,372.2,KG
100,M,BOM000158,0030,0003,MAT000306,254.19,KG
100,M,BOM000158,0040,0004,MAT000036,353.79,KG
100,M,BOM000158,0050,0005,MAT000492,11.58,KG
100,M,BOM000158,0060,0006,MAT000478,15.5,KG
100,M,BOM000158,0070,0007,MAT000393,380.68,KG
100,M,BOM000158,0080,0008,MAT000346,66.41,KG
100,M,BOM000159,0010,0001,MAT000496,19.04,KG
100,M,BOM000159,0020,0002,MAT000052,15.18,KG
100,M,BOM000159,0030,0003,MAT000047,8.01,KG
100,M,BOM000159,0040,0004,MAT000115,10.62,KG
100,M,BOM000160,0010,0001,MAT000485,26.28,KG
100,M,BOM000160,0020,0002,MAT000392,48.89,KG
100,M,BOM000160,0030,0003,MAT000302,32.58,KG
100,M,BOM000160,0040,0004,MAT000114,14.78,KG
100,M,BOM000160,0050,0005,MAT000260,1.67,KG
100,M,BOM000160,0060,0006,MAT000295,42.42,KG
100,M,BOM000160,0070,0007,MAT000024,16.9,KG
100,M,BOM000160,0080,0008,MAT000042,12.49,KG
100,M,BOM000161,0010,0001,MAT000234,316.74,KG
100,M,BOM000161,0020,0002,MAT000208,36.99,KG
100,M,BOM000161,0030,0003,MAT000492,248.36,KG
100,M,BOM000161,0040,0004,MAT000346,477.06,KG
100,M,BOM000161,0050,0005,MAT000445,30.79,KG
100,M,BOM000161,0060,0006,MAT000296,496.05,KG
100,M,BOM000161,0070,0007,MAT000164,469.45,KG
100,M,BOM000161,0080,0008,MAT000392,67.15,KG
100,M,BOM000162,0010,0001,MAT000437,15.92,KG
100,M,BOM000162,0020,0002,MAT000052,36.22,KG
100,M,BOM000162,0030,0003,MAT000387,12.62,KG
100,M,BOM000162,0040,0004,MAT000405,9.23,KG
100,M,BOM000163,0010,0001,MAT000473,43.19,KG
100,M,BOM000163,0020,0002,MAT000393,24.32,KG
100,M,BOM000163,0030,0003,MAT000022,47.58,KG
100,M,BOM000163,0040,0004,MAT000196,18.3,KG
100,M,BOM000163,0050,0005,MAT000252,19.2,KG
